series,date,value,hit,verdict,handling,event_date,event,gap_days,note,special
ETF_ret_pct,2021-10-12,-0.7812679018391888,global+r60+r20+pre60,真实冲击,保留,2021-10-12,中资房企信用危机(恒大等)美元债抛售传染,0,"事件窗口内(±3日,偏差0日)",
ETF_ret_pct,2021-10-15,0.5865139388556706,r60+pre60,真实冲击,保留,2021-10-12,中资房企信用危机(恒大等)美元债抛售传染,3,"事件窗口内(±3日,偏差3日)",
FX_ret_pct,2021-10-19,-0.7306139656012567,r60+r20+pre60,存疑(无事件支撑),"仅标注,不改数",,,,,
d5y_bp,2021-11-04,-8.999999999999986,pre60,真实冲击,保留,2021-11-04,英央行意外不加息 美债收益率回落,0,"事件窗口内(±3日,偏差0日)",
d5y_bp,2021-11-10,14.999999999999991,r60+pre60,真实冲击,保留,2021-11-10,美国10月CPI同比6.2%创31年新高,0,"事件窗口内(±3日,偏差0日)",
d10y_bp,2021-11-26,-15.999999999999991,r60+pre60,真实冲击,保留,2021-11-26,奥密克戎变异株恐慌 全球避险,0,"事件窗口内(±3日,偏差0日)",
d5y_bp,2021-11-26,-18.000000000000014,r60+pre60,真实冲击,保留,2021-11-26,奥密克戎变异株恐慌 全球避险,0,"事件窗口内(±3日,偏差0日)",
FX_ret_pct,2021-12-09,0.5298462952557426,pre60,真实冲击,保留,2021-12-09,恒大正式违约 美元走强,0,"事件窗口内(±3日,偏差0日)",
ETF_ret_pct,2022-01-18,-0.5964175438652464,r60+pre60,真实冲击,保留,2022-01-18,美联储紧缩预期发酵 收益率飙升,0,"事件窗口内(±3日,偏差0日)",
FX_ret_pct,2022-01-27,0.742419651815851,r60+r20+pre60,真实冲击,保留,2022-01-27,美联储1月会议转鹰(鲍威尔),0,"事件窗口内(±3日,偏差0日)",
ETF_ret_pct,2022-02-07,-0.8024060755970619,global+r60+pre60,真实冲击,保留,2022-02-07,节后风险偏好回落 美债调整,0,"事件窗口内(±3日,偏差0日)",
d10y_bp,2022-02-28,-13.99999999999999,pre60,真实冲击,保留,2022-02-28,俄乌开战 避险与通胀双线,0,"事件窗口内(±3日,偏差0日)",
d5y_bp,2022-02-28,-15.000000000000014,pre60,真实冲击,保留,2022-02-28,俄乌开战 避险与通胀双线,0,"事件窗口内(±3日,偏差0日)",
ETF_ret_pct,2022-03-15,-1.4568373819999647,global+r60+r20+pre60,真实冲击,保留,2022-03-15,美联储开启加息周期(3/16加息25bp)前风险偏好,0,"事件窗口内(±3日,偏差0日)",
ETF_ret_pct,2022-03-17,0.8403355652822797,global+r60+pre60,真实冲击,保留,2022-03-17,加息落地 利空出尽反弹,0,"事件窗口内(±3日,偏差0日)",
ETF_ret_pct,2022-03-28,-0.8394610476273268,global,真实冲击,保留,2022-03-28,上海疫情封控 增长担忧,0,"事件窗口内(±3日,偏差0日)",
ETF_ret_pct,2022-03-30,0.7318684266908959,global,真实冲击,保留,2022-03-28,上海疫情封控 增长担忧,2,"事件窗口内(±3日,偏差2日)",
FX_ret_pct,2022-04-22,0.7875880414650593,global+r60+pre60,真实冲击,保留,2022-04-25,人民币快速贬值(疫情封控+中美利差倒挂),3,"事件窗口内(±3日,偏差3日)",
FX_ret_pct,2022-04-25,0.8805907050731809,global+r60+pre60,真实冲击,保留,2022-04-25,人民币快速贬值(疫情封控+中美利差倒挂),0,"事件窗口内(±3日,偏差0日)",
FX_ret_pct,2022-04-28,0.983032537352857,global+r60+pre60,真实冲击,保留,2022-04-25,人民币快速贬值(疫情封控+中美利差倒挂),3,"事件窗口内(±3日,偏差3日)",
ETF_ret_pct,2022-05-03,-0.753910856986012,global,真实冲击,保留,2022-05-03,5月FOMC前风险偏好弱 债市调整,0,"事件窗口内(±3日,偏差0日)",
FX_ret_pct,2022-05-09,0.9615889422578848,global+pre60,真实冲击,保留,2022-05-12,人民币续贬 中美利差倒挂加深,3,"事件窗口内(±3日,偏差3日)",
FX_ret_pct,2022-05-12,0.9981866864716916,global+pre60,真实冲击,保留,2022-05-12,人民币续贬 中美利差倒挂加深,0,"事件窗口内(±3日,偏差0日)",
ETF_ret_pct,2022-06-13,-1.8408730205465904,global+r60+r20+pre60,真实冲击,保留,2022-06-13,5月CPI超预期后美债暴跌 全球债市承压,0,"事件窗口内(±3日,偏差0日)",
d10y_bp,2022-06-13,28.000000000000025,global+r60+pre60,真实冲击,保留,2022-06-13,5月CPI超预期后美债暴跌 全球债市承压,0,"事件窗口内(±3日,偏差0日)",
d5y_bp,2022-06-13,31.000000000000007,global+r60+pre60,真实冲击,保留,2022-06-13,5月CPI超预期后美债暴跌 全球债市承压,0,"事件窗口内(±3日,偏差0日)",
d5y_bp,2022-06-15,-23.0,global,真实冲击,保留,2022-06-15,FOMC加息75bp 声明后收益率回落,0,"事件窗口内(±3日,偏差0日)",
ETF_ret_pct,2022-07-22,0.5527808863501571,r20,真实冲击,保留,2022-07-22,中国地产纾困与政策预期 风险偏好,0,"事件窗口内(±3日,偏差0日)",
d5y_bp,2022-08-05,21.000000000000043,global,真实冲击,保留,2022-08-05,7月非农强劲 加息预期升温,0,"事件窗口内(±3日,偏差0日)",
FX_ret_pct,2022-09-06,0.7897988599297134,global+pre60,真实冲击,保留,2022-09-06,人民币贬向6.9 美元指数走强,0,"事件窗口内(±3日,偏差0日)",
d10y_bp,2022-09-22,19.00000000000004,global,真实冲击,保留,2022-09-22,FOMC鹰派点阵图 收益率上行,0,"事件窗口内(±3日,偏差0日)",
ETF_ret_pct,2022-09-23,-0.7834501122577775,global+r60+r20+pre60,真实冲击,保留,2022-09-22,FOMC鹰派点阵图 收益率上行,1,"事件窗口内(±3日,偏差1日)",
d10y_bp,2022-09-26,18.999999999999993,global,真实冲击,保留,2022-09-26,英国迷你预算危机 全球利率上行,0,"事件窗口内(±3日,偏差0日)",
ETF_ret_pct,2022-09-28,-1.0268146704020709,global+r60+pre60,真实冲击,保留,2022-09-28,英央行紧急购债 全球收益率回落,0,"事件窗口内(±3日,偏差0日)",
d10y_bp,2022-09-28,-25.0,global+r60+pre60,真实冲击,保留,2022-09-28,英央行紧急购债 全球收益率回落,0,"事件窗口内(±3日,偏差0日)",
d5y_bp,2022-09-28,-29.000000000000004,global+r60+r20+pre60,真实冲击,保留,2022-09-28,英央行紧急购债 全球收益率回落,0,"事件窗口内(±3日,偏差0日)",
FX_ret_pct,2022-09-29,-1.109058341670499,global+r60+pre60,真实冲击,保留,2022-09-28,英央行紧急购债 全球收益率回落,1,"事件窗口内(±3日,偏差1日)",
ETF_ret_pct,2022-10-11,-0.8069229114146315,global,真实冲击,保留,2022-10-14,全球债市动荡(英养老金危机) 信用承压,3,"事件窗口内(±3日,偏差3日)",
ETF_ret_pct,2022-10-14,-1.282808617783271,global+r60+pre60,真实冲击,保留,2022-10-14,全球债市动荡(英养老金危机) 信用承压,0,"事件窗口内(±3日,偏差0日)",
FX_ret_pct,2022-10-26,-1.3546101122563936,global+r60+pre60,真实冲击,保留,2022-10-26,美元自高位大幅回落 人民币急升,0,"事件窗口内(±3日,偏差0日)",
FX_ret_pct,2022-11-07,-1.0050889363989235,global,真实冲击,保留,2022-11-10,美国10月CPI回落至7.7% 美债暴涨,3,"事件窗口内(±3日,偏差3日)",
FX_ret_pct,2022-11-10,-0.7778687457035804,global,真实冲击,保留,2022-11-10,美国10月CPI回落至7.7% 美债暴涨,0,"事件窗口内(±3日,偏差0日)",
d10y_bp,2022-11-10,-30.00000000000003,global+r60+r20+pre60,真实冲击,保留,2022-11-10,美国10月CPI回落至7.7% 美债暴涨,0,"事件窗口内(±3日,偏差0日)",
d5y_bp,2022-11-10,-31.99999999999994,global+r60+pre60,真实冲击,保留,2022-11-10,美国10月CPI回落至7.7% 美债暴涨,0,"事件窗口内(±3日,偏差0日)",
ETF_ret_pct,2022-11-14,1.7637201083321508,global+r60+r20+pre60,真实冲击,保留,2022-11-14,中国发布防控优化二十条+地产金融16条(11-11公布 美股11-11休市),0,"事件窗口内(±3日,偏差0日)",与3141反向但命中中国防疫优化+地产三支箭，且 CNY 当日 -1.6%，判真实冲击(3141当日陈旧)
FX_ret_pct,2022-11-14,-1.5854418377794666,global+r60+pre60,真实冲击,保留,2022-11-14,中国发布防控优化二十条+地产金融16条(11-11公布 美股11-11休市),0,"事件窗口内(±3日,偏差0日)",与3141反向但命中中国防疫优化+地产三支箭，且 CNY 当日 -1.6%，判真实冲击(3141当日陈旧)
FX_ret_pct,2022-11-17,0.8237775946782211,global,真实冲击,保留,2022-11-14,中国发布防控优化二十条+地产金融16条(11-11公布 美股11-11休市),3,"事件窗口内(±3日,偏差3日)",
ETF_ret_pct,2022-11-29,0.911179236463111,global,真实冲击,保留,2022-11-29,证监会恢复房企股权融资(第三支箭),0,"事件窗口内(±3日,偏差0日)",无独立事件强支撑且与3141反向 → 存疑(流动性/交易所价噪声候选)
FX_ret_pct,2022-11-30,-0.9673848845334732,global,真实冲击,保留,2022-11-30,人民币续升 风险偏好修复,0,"事件窗口内(±3日,偏差0日)",
FX_ret_pct,2022-12-05,-0.8297615561754901,global,真实冲击,保留,2022-12-05,防疫新十条 放开加速 人民币走强,0,"事件窗口内(±3日,偏差0日)",
FX_ret_pct,2022-12-30,-0.9423073109563028,global,真实冲击,保留,2022-12-30,年末人民币偏强 美元弱,0,"事件窗口内(±3日,偏差0日)",
d5y_bp,2023-01-06,-20.999999999999996,global,真实冲击,保留,2023-01-06,美国12月ISM服务业破荣枯线+薪资降温,0,"事件窗口内(±3日,偏差0日)",
FX_ret_pct,2023-01-09,-0.9847952007473236,global,真实冲击,保留,2023-01-09,中国重启+美元走弱 人民币续升,0,"事件窗口内(±3日,偏差0日)",
ETF_ret_pct,2023-01-12,0.8948734366528377,global,真实冲击,保留,2023-01-12,美国12月CPI回落+中国开放推进,0,"事件窗口内(±3日,偏差0日)",
FX_ret_pct,2023-01-17,1.0583994357703297,global,真实冲击,保留,2023-01-17,人民币单日回调(升幅过大/中间价),0,"事件窗口内(±3日,偏差0日)",
FX_ret_pct,2023-03-01,-0.9697063252672722,global,真实冲击,保留,2023-03-01,中国2月PMI强劲 人民币升值,0,"事件窗口内(±3日,偏差0日)",
FX_ret_pct,2023-03-10,-0.8726751138237177,global,真实冲击,保留,2023-03-10,硅谷银行SVB被接管 避险,0,"事件窗口内(±3日,偏差0日)",
d10y_bp,2023-03-10,-23.0,global+r60+pre60,真实冲击,保留,2023-03-10,硅谷银行SVB被接管 避险,0,"事件窗口内(±3日,偏差0日)",
d5y_bp,2023-03-10,-25.99999999999998,global+r60+r20+pre60,真实冲击,保留,2023-03-10,硅谷银行SVB被接管 避险,0,"事件窗口内(±3日,偏差0日)",
FX_ret_pct,2023-03-13,-0.829216273049882,global,真实冲击,保留,2023-03-13,SVB传染 瑞信危机发酵,0,"事件窗口内(±3日,偏差0日)",
d5y_bp,2023-03-13,-27.99999999999998,global+r60+pre60,真实冲击,保留,2023-03-13,SVB传染 瑞信危机发酵,0,"事件窗口内(±3日,偏差0日)",
ETF_ret_pct,2023-03-14,0.7834521476287326,global+r20+pre60,真实冲击,保留,2023-03-14,美联储新工具BTFP 银行风险缓解 投资级债涨,0,"事件窗口内(±3日,偏差0日)",
d5y_bp,2023-03-17,-28.000000000000025,global,真实冲击,保留,2023-03-17,瑞信危机蔓延 美债收益率续降,0,"事件窗口内(±3日,偏差0日)",
FX_ret_pct,2023-03-23,-0.8964217995543811,global,真实冲击,保留,2023-03-23,美联储加息25bp接近尾声 美元走弱,0,"事件窗口内(±3日,偏差0日)",
FX_ret_pct,2023-06-20,0.7842848513603284,global+r60+pre60,真实冲击,保留,2023-06-20,中国1年期LPR下调10bp 经济偏弱,0,"事件窗口内(±3日,偏差0日)",
FX_ret_pct,2023-06-26,0.8144847684653955,global+r60+pre60,真实冲击,保留,2023-06-26,人民币续贬(中美利差/经济预期),0,"事件窗口内(±3日,偏差0日)",
ETF_ret_pct,2023-06-29,0.7773338150811493,global+r60+r20+pre60,真实冲击,保留,2023-06-26,人民币续贬(中美利差/经济预期),3,"事件窗口内(±3日,偏差3日)",
FX_ret_pct,2023-09-11,-0.7490876517330491,global,真实冲击,保留,2023-09-11,央行维稳+美元回落 人民币急升,0,"事件窗口内(±3日,偏差0日)",
