date,d5y_bp,d10y_bp,fx_ret_pct,etf_ret_pct,etf_rate_attrib_pct,etf_spread_proxy_pct,oas_bp,doas_bp
2021-08-03,-1.0,-1.0,0.1237,0.1922,,,,
2021-08-04,2.0,0.0,-0.0696,0.0959,0.0261,0.0698,,
2021-08-05,5.0,4.0,-0.0727,0.0958,-0.0057,0.1016,,
2021-08-06,5.0,8.0,0.3353,0.0,-0.0679,0.0679,,
2021-08-09,2.0,2.0,0.0494,-0.1917,-0.1084,-0.0833,,
2021-08-10,3.0,3.0,-0.0077,-0.096,-0.026,-0.0701,,
2021-08-11,-1.0,-1.0,-0.1065,0.0,-0.0433,0.0433,,
2021-08-12,2.0,1.0,-0.0015,0.0,0.0261,-0.0261,,
2021-08-13,-4.0,-7.0,-0.0216,0.0,-0.0159,0.0159,,
2021-08-16,-4.0,-3.0,-0.0402,0.1919,0.1085,0.0835,,
2021-08-17,2.0,0.0,0.1728,0.2872,0.068,0.2192,,
2021-08-18,2.0,1.0,-0.02,0.0,-0.0057,0.0057,,
2021-08-19,-1.0,-3.0,0.1556,0.0956,-0.0159,0.1114,,
2021-08-20,2.0,2.0,0.1077,0.0,0.0463,-0.0463,,
2021-08-23,-2.0,-1.0,-0.3189,0.0,-0.026,0.026,,
2021-08-24,2.0,4.0,-0.1467,0.0,0.0333,-0.0333,,
2021-08-25,4.0,6.0,0.0711,0.0,-0.0462,0.0462,,
2021-08-26,0.0,-1.0,0.0818,0.0,-0.0809,0.0809,,
2021-08-27,-5.0,-3.0,-0.1513,0.0,0.0188,-0.0188,,
2021-08-30,-2.0,-2.0,-0.0819,0.0955,0.0752,0.0202,,
2021-08-31,0.0,1.0,-0.0836,0.1907,0.0434,0.1472,,
2021-09-01,1.0,1.0,-0.0279,0.0,-0.0014,0.0014,,
2021-09-02,0.0,-2.0,-0.0403,0.0,-0.0086,0.0086,,
2021-09-03,0.0,4.0,-0.0496,0.0,0.029,-0.029,,
2021-09-07,4.0,5.0,0.2074,0.0,-0.0318,0.0318,,
2021-09-08,-1.0,-3.0,-0.0774,0.0,-0.0708,0.0708,,
2021-09-09,-2.0,-5.0,-0.1007,0.0,0.0463,-0.0463,,
2021-09-10,3.0,5.0,-0.1659,0.0952,0.0738,0.0214,,
2021-09-13,-1.0,-2.0,0.1101,0.0,-0.0636,0.0636,,
2021-09-14,-2.0,-5.0,-0.2002,0.0,0.0362,-0.0362,,
2021-09-15,2.0,3.0,-0.0963,0.0951,0.0738,0.0213,,
2021-09-16,3.0,3.0,0.3817,0.0,-0.0361,0.0361,,
2021-09-17,4.0,3.0,0.1377,-0.0951,-0.0433,-0.0517,,
2021-09-20,-5.0,-6.0,-0.0062,-0.1905,-0.0506,-0.1399,,
2021-09-21,1.0,2.0,0.0,0.0,0.1056,-0.1056,,
2021-09-22,2.0,-1.0,-0.0619,0.0,-0.0187,0.0187,,
2021-09-23,8.0,9.0,-0.0325,0.0,0.0044,-0.0044,,
2021-09-24,3.0,6.0,0.1083,-0.2864,-0.1402,-0.1462,,
2021-09-27,1.0,1.0,-0.1548,-0.1914,-0.0737,-0.1177,,
2021-09-28,4.0,6.0,0.0542,-0.2878,-0.0086,-0.2792,,
2021-09-29,-1.0,1.0,0.1655,-0.0961,-0.0809,-0.0152,,
2021-09-30,-3.0,-3.0,-0.4151,-0.0962,0.0058,-0.102,,
2021-10-01,-5.0,-4.0,0.0,0.0,0.0608,-0.0608,,
2021-10-04,2.0,1.0,0.0,0.02,0.0854,-0.0654,,
2021-10-05,3.0,5.0,0.0,-0.0485,-0.0159,-0.0326,,
2021-10-06,1.0,-1.0,0.0,-0.0971,-0.0636,-0.0335,,
2021-10-07,3.0,5.0,0.0,0.0,0.0116,-0.0116,,
2021-10-08,3.0,3.0,0.0016,-0.1943,-0.0636,-0.1308,,
2021-10-12,3.0,-2.0,0.0776,-0.7813,-0.0433,-0.7379,,
2021-10-13,1.0,-3.0,-0.3464,0.0,0.0073,-0.0073,,
2021-10-14,-4.0,-4.0,0.1835,0.0,0.0319,-0.0319,,
2021-10-15,8.0,7.0,-0.0622,0.5865,0.0781,0.5084,,
2021-10-18,3.0,0.0,-0.0777,0.0,-0.12,0.12,,
2021-10-19,1.0,6.0,-0.7306,0.0974,-0.013,0.1104,,
2021-10-20,-1.0,0.0,0.1785,0.0,-0.0592,0.0592,,
2021-10-21,7.0,3.0,-0.0172,0.0,0.016,-0.016,,
2021-10-22,-1.0,-2.0,-0.1346,-0.0974,-0.0723,-0.0252,,
2021-10-25,-3.0,-2.0,0.0266,0.0,0.0362,-0.0362,,
2021-10-26,1.0,-1.0,-0.0564,0.0,0.0507,-0.0507,,
2021-10-27,-4.0,-9.0,0.1487,0.0974,0.0116,0.0858,,
2021-10-28,2.0,3.0,0.0031,0.3887,0.1287,0.26,,
2021-10-29,0.0,-2.0,0.2079,-0.1942,-0.0361,-0.1581,,
2021-11-01,2.0,3.0,-0.1219,0.0,0.029,-0.029,,
2021-11-02,-5.0,-2.0,0.0359,0.0,-0.0361,0.0361,,
2021-11-03,4.0,4.0,0.1031,0.0,0.0651,-0.0651,,
2021-11-04,-9.0,-7.0,-0.1422,0.0,-0.0607,0.0607,,
2021-11-05,-6.0,-8.0,-0.0141,0.2911,0.1446,0.1465,,
2021-11-08,9.0,6.0,-0.0923,0.0,0.1331,-0.1331,,
2021-11-09,-5.0,-5.0,0.0219,-0.2911,-0.1171,-0.174,,
2021-11-10,15.0,10.0,-0.0532,0.0,0.0955,-0.0955,,
2021-11-12,1.0,2.0,-0.1488,0.0,-0.2009,0.2009,,
2021-11-15,2.0,5.0,0.058,0.0,-0.0187,0.0187,,
2021-11-16,1.0,0.0,0.1487,-0.0972,-0.0563,-0.0409,,
2021-11-17,-3.0,-3.0,-0.2255,0.0,0.0015,-0.0015,,
2021-11-18,-2.0,-1.0,0.1191,0.1943,0.0608,0.1336,,
2021-11-19,0.0,-5.0,0.0188,0.0,0.0333,-0.0333,,
2021-11-22,11.0,9.0,-0.0329,0.0971,0.0593,0.0377,,
2021-11-23,0.0,4.0,0.1065,0.0,-0.1619,0.1619,,
2021-11-24,1.0,-3.0,0.011,-0.2914,-0.0318,-0.2596,,
2021-11-26,-18.0,-16.0,0.011,0.0,0.0319,-0.0319,,
2021-11-29,2.0,4.0,-0.0767,0.0,0.3008,-0.3008,,
2021-11-30,-4.0,-9.0,-0.3686,0.1943,-0.0462,0.2406,,
2021-12-01,1.0,0.0,0.0016,0.0,0.1287,-0.1287,,
2021-12-02,6.0,1.0,0.1915,0.0,0.0015,-0.0015,,
2021-12-03,-8.0,-9.0,-0.0078,0.0971,-0.0448,0.1418,,
2021-12-06,8.0,8.0,-0.0031,0.2905,0.1576,0.1329,,
2021-12-07,5.0,5.0,-0.1554,0.0,-0.1301,0.1301,,
2021-12-08,1.0,4.0,-0.3494,0.0,-0.078,0.078,,
2021-12-09,-1.0,-3.0,0.5298,-0.0967,-0.039,-0.0578,,
2021-12-10,-1.0,-1.0,-0.1365,0.0,0.0463,-0.0463,,
2021-12-13,-4.0,-6.0,-0.0408,0.0,0.0261,-0.0261,,
2021-12-14,2.0,2.0,0.0188,0.1934,0.0984,0.095,,
2021-12-15,3.0,3.0,0.0031,0.0,-0.026,0.026,,
2021-12-16,-7.0,-3.0,0.0016,0.0,-0.0433,0.0433,,
2021-12-17,-1.0,-3.0,0.1161,0.0,0.0897,-0.0897,,
2021-12-20,-1.0,2.0,0.0125,0.3857,0.0463,0.3394,,
2021-12-21,7.0,5.0,-0.0628,-0.1927,-0.0043,-0.1884,,
2021-12-22,-1.0,-2.0,-0.033,-0.0964,-0.0925,-0.0039,,
2021-12-23,2.0,4.0,0.0016,0.0,0.0362,-0.0362,,
2021-12-27,1.0,-2.0,0.0141,0.0,-0.0462,0.0462,,
2021-12-28,1.0,1.0,-0.033,0.0,0.0217,-0.0217,,
2021-12-29,2.0,6.0,-0.0063,0.0,-0.0086,0.0086,,
2021-12-30,-2.0,-3.0,0.0722,-0.1933,-0.0665,-0.1268,,
2021-12-31,-1.0,0.0,0.0,0.0,0.0535,-0.0535,,
2022-01-03,11.0,11.0,-0.2766,0.0,0.016,-0.016,,
2022-01-04,0.0,3.0,0.2687,-0.3223,-0.1821,-0.1401,,
2022-01-05,6.0,5.0,-0.1272,0.0,-0.0216,0.0216,,
2022-01-06,4.0,2.0,0.2856,-0.49,-0.0853,-0.4047,,
2022-01-07,3.0,3.0,-0.0831,-0.0983,-0.0404,-0.0578,,
2022-01-10,3.0,2.0,-0.0204,-0.2954,-0.0433,-0.2521,,
2022-01-11,-2.0,-3.0,-0.0329,0.0,-0.0332,0.0332,,
2022-01-12,-1.0,-1.0,-0.2435,0.0,0.0535,-0.0535,,
2022-01-13,-3.0,-4.0,0.0236,-0.0987,0.0261,-0.1247,,
2022-01-14,8.0,8.0,-0.1117,-0.3956,0.0709,-0.4665,,
2022-01-18,10.0,9.0,0.0016,-0.5964,-0.1301,-0.4663,,
2022-01-19,-3.0,-4.0,-0.1229,-0.2996,-0.1547,-0.1449,,
2022-01-20,0.0,0.0,-0.0646,0.1998,0.0709,0.1289,,
2022-01-21,-8.0,-8.0,-0.0331,0.0998,0.0087,0.091,,
2022-01-24,-1.0,0.0,-0.1279,0.1992,0.1475,0.0517,,
2022-01-25,3.0,3.0,-0.0743,0.0,0.016,-0.016,,
2022-01-26,10.0,7.0,-0.0807,0.0,-0.0433,0.0433,,
2022-01-27,0.0,-4.0,0.7424,-0.3988,-0.1344,-0.2644,,
2022-01-28,-5.0,-3.0,-0.1131,0.0,0.0492,-0.0492,,
2022-01-31,1.0,1.0,0.0079,0.0,0.0752,-0.0752,,
2022-02-01,1.0,2.0,0.0,0.0,-0.0086,0.0086,,
2022-02-02,-3.0,-3.0,0.0,0.0,-0.0187,0.0187,,
2022-02-03,6.0,4.0,0.0,0.0,0.0608,-0.0608,,
2022-02-04,12.0,11.0,0.0,0.0,-0.0751,0.0751,,
2022-02-07,-2.0,-1.0,0.0,-0.8024,-0.1894,-0.613,,
2022-02-08,5.0,4.0,0.0786,0.0,0.0333,-0.0333,,
2022-02-09,1.0,-2.0,-0.0644,0.0,-0.0679,0.0679,,
2022-02-10,14.0,9.0,-0.1463,0.0,0.0217,-0.0217,,
2022-02-11,-12.0,-11.0,0.022,-0.4036,-0.1836,-0.2201,,
2022-02-14,6.0,6.0,0.0425,0.0,0.2068,-0.2068,,
2022-02-15,4.0,7.0,-0.2867,-0.1012,-0.0954,-0.0058,,
2022-02-16,-4.0,-2.0,-0.03,-0.1013,-0.091,-0.0102,,
2022-02-17,-5.0,-6.0,0.0237,0.0,0.0579,-0.0579,,
2022-02-18,-3.0,-5.0,-0.2053,0.0,0.1056,-0.1056,,
2022-02-22,3.0,2.0,0.0142,0.3035,0.081,0.2225,,
2022-02-23,4.0,5.0,-0.1994,-0.3035,-0.0332,-0.2703,,
2022-02-24,-5.0,-3.0,0.2357,-0.2028,-0.0708,-0.132,,
2022-02-25,2.0,1.0,-0.1803,-0.1016,0.0752,-0.1768,,
2022-02-28,-15.0,-14.0,-0.1347,0.0,-0.0159,0.0159,,
2022-03-01,-15.0,-11.0,0.0507,0.1016,0.2589,-0.1573,,
