date,d5y_bp,d10y_bp,fx_ret_pct,etf_ret_pct,etf_rate_attrib_pct,etf_spread_proxy_pct,oas_bp,doas_bp
2021-08-03,-1.0,-1.0,0.1237,0.1851,,,,
2021-08-04,2.0,0.0,-0.0696,0.0616,0.0378,0.0239,,
2021-08-05,5.0,4.0,-0.0727,0.2462,0.0085,0.2377,,
2021-08-06,5.0,8.0,0.3353,-0.1846,-0.0948,-0.0897,,
2021-08-09,2.0,2.0,0.0494,-0.1849,-0.1936,0.0087,,
2021-08-10,3.0,3.0,-0.0077,-0.0617,-0.0409,-0.0208,,
2021-08-11,-1.0,-1.0,-0.1065,-0.1853,-0.0671,-0.1183,,
2021-08-12,2.0,1.0,-0.0015,0.1853,0.0378,0.1476,,
2021-08-13,-4.0,-7.0,-0.0216,0.1234,-0.0162,0.1396,,
2021-08-16,-4.0,-3.0,-0.0402,0.3078,0.1905,0.1173,,
2021-08-17,2.0,0.0,0.1728,0.3068,0.0917,0.2151,,
2021-08-18,2.0,1.0,-0.02,-0.0613,0.0085,-0.0698,,
2021-08-19,-1.0,-3.0,0.1556,0.2449,-0.0162,0.2611,,
2021-08-20,2.0,2.0,0.1077,-0.0612,0.0871,-0.1483,,
2021-08-23,-2.0,-1.0,-0.3189,-0.1225,-0.0409,-0.0816,,
2021-08-24,2.0,4.0,-0.1467,0.0,0.0393,-0.0393,,
2021-08-25,4.0,6.0,0.0711,-0.1226,-0.0902,-0.0324,,
2021-08-26,0.0,-1.0,0.0818,0.0614,-0.1427,0.204,,
2021-08-27,-5.0,-3.0,-0.1513,0.0613,0.0362,0.025,,
2021-08-30,-2.0,-2.0,-0.0819,0.1225,0.0933,0.0292,,
2021-08-31,0.0,1.0,-0.0836,0.0612,0.064,-0.0028,,
2021-09-01,1.0,1.0,-0.0279,-0.0612,-0.0131,-0.048,,
2021-09-02,0.0,-2.0,-0.0403,0.0612,-0.0147,0.0758,,
2021-09-03,0.0,4.0,-0.0496,-0.1224,0.0609,-0.1833,,
2021-09-07,4.0,5.0,0.2074,0.0612,-0.0872,0.1484,,
2021-09-08,-1.0,-3.0,-0.0774,-0.0612,-0.118,0.0568,,
2021-09-09,-2.0,-5.0,-0.1007,0.1224,0.0871,0.0353,,
2021-09-10,3.0,5.0,-0.1659,0.1223,0.138,-0.0158,,
2021-09-13,-1.0,-2.0,0.1101,-0.0611,-0.1165,0.0553,,
2021-09-14,-2.0,-5.0,-0.2002,-0.0612,0.0625,-0.1236,,
2021-09-15,2.0,3.0,-0.0963,0.3054,0.138,0.1673,,
2021-09-16,3.0,3.0,0.3817,-0.3054,-0.0656,-0.2398,,
2021-09-17,4.0,3.0,0.1377,0.0612,-0.0671,0.1282,,
2021-09-20,-5.0,-6.0,-0.0062,-0.1835,-0.0686,-0.1149,,
2021-09-21,1.0,2.0,0.0,-0.2452,0.1673,-0.4125,,
2021-09-22,2.0,-1.0,-0.0619,0.0,-0.0393,0.0393,,
2021-09-23,8.0,9.0,-0.0325,0.184,0.0332,0.1508,,
2021-09-24,3.0,6.0,0.1083,-0.2454,-0.2228,-0.0226,,
2021-09-27,1.0,1.0,-0.1548,-0.3076,-0.1411,-0.1665,,
2021-09-28,4.0,6.0,0.0542,-0.185,-0.0147,-0.1703,,
2021-09-29,-1.0,1.0,0.1655,-0.2472,-0.1427,-0.1045,,
2021-09-30,-3.0,-3.0,-0.4151,0.0,-0.0116,0.0116,,
2021-10-01,-5.0,-4.0,0.0,0.0,0.0902,-0.0902,,
2021-10-04,2.0,1.0,0.0,0.3734,0.1179,0.2554,,
2021-10-05,3.0,5.0,0.0,-0.4357,-0.0162,-0.4195,,
2021-10-06,1.0,-1.0,0.0,0.0624,-0.1165,0.1788,,
2021-10-07,3.0,5.0,0.0,-0.1248,0.0347,-0.1595,,
2021-10-08,3.0,3.0,0.0016,-0.1875,-0.1165,-0.071,,
2021-10-12,3.0,-2.0,0.0776,-0.6903,-0.0671,-0.6232,,
2021-10-13,1.0,-3.0,-0.3464,0.0,0.0563,-0.0563,,
2021-10-14,-4.0,-4.0,0.1835,0.0,0.0841,-0.0841,,
2021-10-15,8.0,7.0,-0.0622,0.8153,0.1164,0.6989,,
2021-10-18,3.0,0.0,-0.0777,-0.5009,-0.1735,-0.3274,,
2021-10-19,1.0,6.0,-0.7306,0.3134,0.007,0.3064,,
2021-10-20,-1.0,0.0,0.1785,0.0,-0.1381,0.1381,,
2021-10-21,7.0,3.0,-0.0172,-0.0626,0.0131,-0.0757,,
2021-10-22,-1.0,-2.0,-0.1346,-0.1253,-0.0732,-0.0521,,
2021-10-25,-3.0,-2.0,0.0266,0.1879,0.0625,0.1254,,
2021-10-26,1.0,-1.0,-0.0564,0.1251,0.0655,0.0596,,
2021-10-27,-4.0,-9.0,0.1487,0.0,0.0347,-0.0347,,
2021-10-28,2.0,3.0,0.0031,0.0,0.2398,-0.2398,,
2021-10-29,0.0,-2.0,0.2079,-0.2503,-0.0656,-0.1848,,
2021-11-01,2.0,3.0,-0.1219,0.4377,0.0609,0.3767,,
2021-11-02,-5.0,-2.0,0.0359,-0.3124,-0.0656,-0.2469,,
2021-11-03,4.0,4.0,0.1031,0.4994,0.0686,0.4308,,
2021-11-04,-9.0,-7.0,-0.1422,-0.3118,-0.0933,-0.2185,,
2021-11-05,-6.0,-8.0,-0.0141,0.2495,0.1981,0.0514,,
2021-11-08,9.0,6.0,-0.0923,0.0623,0.2182,-0.1559,,
2021-11-09,-5.0,-5.0,0.0219,-0.187,-0.1503,-0.0366,,
2021-11-10,15.0,10.0,-0.0532,0.0624,0.1426,-0.0803,,
2021-11-12,1.0,2.0,-0.1488,-0.1872,-0.2583,0.071,,
2021-11-15,2.0,5.0,0.058,0.1249,-0.0393,0.1642,,
2021-11-16,1.0,0.0,0.1487,-0.1873,-0.1149,-0.0724,,
2021-11-17,-3.0,-3.0,-0.2255,-0.1251,0.01,-0.1351,,
2021-11-18,-2.0,-1.0,0.1191,0.4371,0.0902,0.3469,,
2021-11-19,0.0,-5.0,0.0188,0.2489,0.0393,0.2096,,
2021-11-22,11.0,9.0,-0.0329,0.0621,0.135,-0.0728,,
2021-11-23,0.0,4.0,0.1065,-0.4357,-0.2274,-0.2083,,
2021-11-24,1.0,-3.0,0.011,0.0624,-0.0872,0.1495,,
2021-11-26,-18.0,-16.0,0.011,0.1246,0.0841,0.0405,,
2021-11-29,2.0,4.0,-0.0767,0.0,0.4341,-0.4341,,
2021-11-30,-4.0,-9.0,-0.3686,0.2488,-0.0902,0.339,,
2021-12-01,1.0,0.0,0.0016,-0.1243,0.2398,-0.3641,,
2021-12-02,6.0,1.0,0.1915,-0.1244,0.01,-0.1345,,
2021-12-03,-8.0,-9.0,-0.0078,0.1866,-0.0223,0.2089,,
2021-12-06,8.0,8.0,-0.0031,0.2483,0.246,0.0023,,
2021-12-07,5.0,5.0,-0.1554,0.062,-0.1982,0.2602,,
2021-12-08,1.0,4.0,-0.3494,-0.1861,-0.1195,-0.0665,,
2021-12-09,-1.0,-3.0,0.5298,-0.0621,-0.0887,0.0266,,
2021-12-10,-1.0,-1.0,-0.1365,0.0621,0.0871,-0.025,,
2021-12-13,-4.0,-6.0,-0.0408,-0.0621,0.0378,-0.0999,,
2021-12-14,2.0,2.0,0.0188,0.372,0.1658,0.2062,,
2021-12-15,3.0,3.0,0.0031,0.0,-0.0409,0.0409,,
2021-12-16,-7.0,-3.0,0.0016,0.0,-0.0671,0.0671,,
2021-12-17,-1.0,-3.0,0.1161,-0.0619,0.0963,-0.1582,,
2021-12-20,-1.0,2.0,0.0125,0.1856,0.0871,0.0985,,
2021-12-21,7.0,5.0,-0.0628,-0.3095,-0.0363,-0.2732,,
2021-12-22,-1.0,-2.0,-0.033,0.0,-0.1226,0.1226,,
2021-12-23,2.0,4.0,0.0016,0.0,0.0625,-0.0625,,
2021-12-27,1.0,-2.0,0.0141,0.0,-0.0902,0.0902,,
2021-12-28,1.0,1.0,-0.033,0.1239,0.0594,0.0645,,
2021-12-29,2.0,6.0,-0.0063,0.0,-0.0147,0.0147,,
2021-12-30,-2.0,-3.0,0.0722,-0.1859,-0.1396,-0.0463,,
