date,d5y_bp,d10y_bp,fx_ret_pct,etf_ret_pct,etf_rate_attrib_pct,etf_spread_proxy_pct,oas_bp,doas_bp
2021-08-03,-1.0,-1.0,0.1237,0.043,0.0387,0.0044,,
2021-08-04,2.0,0.0,-0.0696,0.0621,-0.0155,0.0777,,
2021-08-05,5.0,4.0,-0.0727,-0.1626,-0.1557,-0.0068,,
2021-08-06,5.0,8.0,0.3353,-0.3308,-0.2705,-0.0603,,
2021-08-09,2.0,2.0,0.0494,-0.0817,-0.0729,-0.0088,,
2021-08-10,3.0,3.0,-0.0077,-0.0481,-0.1101,0.062,,
2021-08-11,-1.0,-1.0,-0.1065,0.1489,0.0387,0.1103,,
2021-08-12,2.0,1.0,-0.0015,0.0048,-0.0442,0.049,,
2021-08-13,-4.0,-7.0,-0.0216,0.3211,0.2362,0.0849,,
2021-08-16,-4.0,-3.0,-0.0402,0.1291,0.1215,0.0076,,
2021-08-17,2.0,0.0,0.1728,0.0048,-0.0155,0.0203,,
2021-08-18,2.0,1.0,-0.02,0.1337,-0.0442,0.1779,,
2021-08-19,-1.0,-3.0,0.1556,0.2145,0.096,0.1185,,
2021-08-20,2.0,2.0,0.1077,-0.0333,-0.0729,0.0395,,
2021-08-23,-2.0,-1.0,-0.3189,0.0619,0.0472,0.0147,,
2021-08-24,2.0,4.0,-0.1467,-0.1525,-0.1302,-0.0222,,
2021-08-25,4.0,6.0,0.0711,-0.1718,-0.2046,0.0328,,
2021-08-26,0.0,-1.0,0.0818,0.1241,0.0302,0.0939,,
2021-08-27,-5.0,-3.0,-0.1513,0.1716,0.13,0.0416,,
2021-08-30,-2.0,-2.0,-0.0819,0.1713,0.0758,0.0955,,
2021-08-31,0.0,1.0,-0.0836,-0.0761,-0.0272,-0.0489,,
2021-09-01,1.0,1.0,-0.0279,0.0428,-0.0357,0.0785,,
2021-09-02,0.0,-2.0,-0.0403,0.0903,0.0588,0.0315,,
2021-09-03,0.0,4.0,-0.0496,-0.1046,-0.1132,0.0086,,
2021-09-07,4.0,5.0,0.2074,-0.1047,-0.1759,0.0712,,
2021-09-08,-1.0,-3.0,-0.0774,0.1332,0.096,0.0372,,
2021-09-09,-2.0,-5.0,-0.1007,0.2138,0.1619,0.0519,,
2021-09-10,3.0,5.0,-0.1659,-0.1947,-0.1674,-0.0273,,
2021-09-13,-1.0,-2.0,0.1101,0.114,0.0673,0.0467,,
2021-09-14,-2.0,-5.0,-0.2002,0.2372,0.1619,0.0753,,
2021-09-15,2.0,3.0,-0.0963,-0.2372,-0.1016,-0.1356,,
2021-09-16,3.0,3.0,0.3817,-0.1426,-0.1101,-0.0325,,
2021-09-17,4.0,3.0,0.1377,-0.1761,-0.1186,-0.0575,,
2021-09-20,-5.0,-6.0,-0.0062,0.0476,0.2161,-0.1684,,
2021-09-21,1.0,2.0,0.0,-0.0762,-0.0644,-0.0118,,
2021-09-22,2.0,-1.0,-0.0619,0.0,0.0132,-0.0132,,
2021-09-23,8.0,9.0,-0.0325,-0.358,-0.3246,-0.0334,,
2021-09-24,3.0,6.0,0.1083,-0.1436,-0.1961,0.0525,,
2021-09-27,1.0,1.0,-0.1548,-0.0479,-0.0357,-0.0122,,
2021-09-28,4.0,6.0,0.0542,-0.2879,-0.2046,-0.0833,,
2021-09-29,-1.0,1.0,0.1655,-0.0817,-0.0187,-0.063,,
2021-09-30,-3.0,-3.0,-0.4151,0.0817,0.113,-0.0313,,
2021-10-01,-5.0,-4.0,0.0,0.0,0.1587,-0.1587,,
2021-10-04,2.0,1.0,0.0,-0.5783,-0.0442,-0.5341,,
2021-10-05,3.0,5.0,0.0,-0.3874,-0.1674,-0.22,,
2021-10-06,1.0,-1.0,0.0,-0.0825,0.0217,-0.1042,,
2021-10-07,3.0,5.0,0.0,-0.2382,-0.1674,-0.0708,,
2021-10-08,3.0,3.0,0.0016,-0.1803,-0.1101,-0.0702,,
2021-10-12,3.0,-2.0,0.0776,-0.1952,0.0333,-0.2286,,
2021-10-13,1.0,-3.0,-0.3464,0.0,0.079,-0.079,,
2021-10-14,-4.0,-4.0,0.1835,0.0,0.1502,-0.1502,,
2021-10-15,8.0,7.0,-0.0622,0.3122,-0.2673,0.5795,,
2021-10-18,3.0,0.0,-0.0777,0.0828,-0.024,0.1068,,
2021-10-19,1.0,6.0,-0.7306,-0.1217,-0.1791,0.0574,,
2021-10-20,-1.0,0.0,0.1785,-0.0049,0.01,-0.0149,,
2021-10-21,7.0,3.0,-0.0172,-0.1561,-0.1441,-0.012,,
2021-10-22,-1.0,-2.0,-0.1346,0.234,0.0673,0.1666,,
2021-10-25,-3.0,-2.0,0.0266,0.073,0.0844,-0.0113,,
2021-10-26,1.0,-1.0,-0.0564,0.0875,0.0217,0.0659,,
2021-10-27,-4.0,-9.0,0.1487,0.3009,0.2936,0.0073,,
2021-10-28,2.0,3.0,0.0031,-0.1843,-0.1016,-0.0828,,
2021-10-29,0.0,-2.0,0.2079,0.1262,0.0588,0.0673,,
2021-11-01,2.0,3.0,-0.1219,-0.165,-0.1016,-0.0635,,
2021-11-02,-5.0,-2.0,0.0359,0.034,0.1014,-0.0674,,
2021-11-03,4.0,4.0,0.1031,-0.1506,-0.1472,-0.0034,,
2021-11-04,-9.0,-7.0,-0.1422,0.2817,0.2788,0.0029,,
2021-11-05,-6.0,-8.0,-0.0141,0.1647,0.2819,-0.1172,,
2021-11-08,9.0,6.0,-0.0923,-0.3686,-0.2471,-0.1215,,
2021-11-09,-5.0,-5.0,0.0219,0.0583,0.1874,-0.1291,,
2021-11-10,15.0,10.0,-0.0532,-0.399,-0.4129,0.0138,,
2021-11-12,1.0,2.0,-0.1488,0.1559,-0.0644,0.2203,,
2021-11-15,2.0,5.0,0.058,-0.1315,-0.1589,0.0274,,
2021-11-16,1.0,0.0,0.1487,-0.0536,-0.007,-0.0466,,
2021-11-17,-3.0,-3.0,-0.2255,0.336,0.113,0.2229,,
2021-11-18,-2.0,-1.0,0.1191,0.17,0.0472,0.1228,,
2021-11-19,0.0,-5.0,0.0188,0.1261,0.1449,-0.0188,,
2021-11-22,11.0,9.0,-0.0329,-0.3155,-0.3502,0.0346,,
2021-11-23,0.0,4.0,0.1065,-0.2531,-0.1132,-0.1399,,
2021-11-24,1.0,-3.0,0.011,0.2288,0.079,0.1498,,
2021-11-26,-18.0,-16.0,0.011,0.4706,0.6134,-0.1428,,
2021-11-29,2.0,4.0,-0.0767,-0.218,-0.1302,-0.0878,,
2021-11-30,-4.0,-9.0,-0.3686,0.2035,0.2936,-0.0901,,
2021-12-01,1.0,0.0,0.0016,0.0484,-0.007,0.0554,,
2021-12-02,6.0,1.0,0.1915,-0.1646,-0.0782,-0.0864,,
2021-12-03,-8.0,-9.0,-0.0078,0.3677,0.3276,0.04,,
2021-12-06,8.0,8.0,-0.0031,-0.2805,-0.296,0.0155,,
2021-12-07,5.0,5.0,-0.1554,-0.1211,-0.1844,0.0633,,
2021-12-08,1.0,4.0,-0.3494,-0.0825,-0.1217,0.0393,,
2021-12-09,-1.0,-3.0,0.5298,0.1745,0.096,0.0785,,
2021-12-10,-1.0,-1.0,-0.1365,0.0678,0.0387,0.0291,,
2021-12-13,-4.0,-6.0,-0.0408,0.29,0.2076,0.0824,,
2021-12-14,2.0,2.0,0.0188,-0.1304,-0.0729,-0.0575,,
2021-12-15,3.0,3.0,0.0031,-0.1596,-0.1101,-0.0495,,
2021-12-16,-7.0,-3.0,0.0016,0.1644,0.147,0.0174,,
2021-12-17,-1.0,-3.0,0.1161,0.1063,0.096,0.0102,,
2021-12-20,-1.0,2.0,0.0125,-0.1063,-0.0474,-0.0589,,
2021-12-21,7.0,5.0,-0.0628,-0.0919,-0.2014,0.1096,,
2021-12-22,-1.0,-2.0,-0.033,0.0435,0.0673,-0.0238,,
2021-12-23,2.0,4.0,0.0016,-0.1936,-0.1302,-0.0633,,
2021-12-27,1.0,-2.0,0.0141,0.0,0.0503,-0.0503,,
2021-12-28,1.0,1.0,-0.033,0.063,-0.0357,0.0987,,
2021-12-29,2.0,6.0,-0.0063,-0.2084,-0.1876,-0.0208,,
2021-12-30,-2.0,-3.0,0.0722,0.2423,0.1045,0.1377,,
2021-12-31,-1.0,0.0,0.0,-0.0097,0.01,-0.0197,,
2022-01-03,11.0,11.0,-0.2766,-0.5095,-0.4075,-0.102,,
2022-01-04,0.0,3.0,0.2687,-0.7226,-0.0846,-0.638,,
2022-01-05,6.0,5.0,-0.1272,-0.2404,-0.1929,-0.0475,,
2022-01-06,4.0,2.0,0.2856,-0.3346,-0.0899,-0.2447,,
2022-01-07,3.0,3.0,-0.0831,-0.1628,-0.1101,-0.0527,,
2022-01-10,3.0,2.0,-0.0204,-0.0494,-0.0814,0.032,,
2022-01-11,-2.0,-3.0,-0.0329,0.0987,0.1045,-0.0058,,
2022-01-12,-1.0,-1.0,-0.2435,-0.1135,0.0387,-0.1522,,
2022-01-13,-3.0,-4.0,0.0236,0.0395,0.1417,-0.1022,,
2022-01-14,8.0,8.0,-0.1117,-0.6092,-0.296,-0.3132,,
2022-01-18,10.0,9.0,0.0016,-0.6279,-0.3417,-0.2862,,
2022-01-19,-3.0,-4.0,-0.1229,0.2995,0.1417,0.1578,,
2022-01-20,0.0,0.0,-0.0646,0.1544,0.0015,0.1529,,
2022-01-21,-8.0,-8.0,-0.0331,0.3229,0.2989,0.024,,
2022-01-24,-1.0,0.0,-0.1279,-0.1539,0.01,-0.1639,,
2022-01-25,3.0,3.0,-0.0743,-0.0895,-0.1101,0.0206,,
2022-01-26,10.0,7.0,-0.0807,-0.3886,-0.2843,-0.1043,,
2022-01-27,0.0,-4.0,0.7424,0.1496,0.1162,0.0334,,
2022-01-28,-5.0,-3.0,-0.1131,0.0548,0.13,-0.0752,,
2022-01-31,1.0,1.0,0.0079,-0.0748,-0.0357,-0.0391,,
2022-02-01,1.0,2.0,0.0,0.0,-0.0644,0.0644,,
2022-02-02,-3.0,-3.0,0.0,0.0,0.113,-0.113,,
2022-02-03,6.0,4.0,0.0,0.0,-0.1642,0.1642,,
2022-02-04,12.0,11.0,0.0,-0.7054,-0.416,-0.2894,,
2022-02-07,-2.0,-1.0,0.0,-0.0603,0.0472,-0.1074,,
2022-02-08,5.0,4.0,0.0786,-0.2767,-0.1557,-0.1209,,
2022-02-09,1.0,-2.0,-0.0644,0.141,0.0503,0.0906,,
2022-02-10,14.0,9.0,-0.1463,-0.6207,-0.3757,-0.245,,
2022-02-11,-12.0,-11.0,0.022,0.5905,0.419,0.1715,,
2022-02-14,6.0,6.0,0.0425,-0.5955,-0.2216,-0.3739,,
2022-02-15,4.0,7.0,-0.2867,-0.2078,-0.2333,0.0255,,
2022-02-16,-4.0,-2.0,-0.03,0.1774,0.0929,0.0845,,
2022-02-17,-5.0,-6.0,0.0237,0.2225,0.2161,0.0065,,
2022-02-18,-3.0,-5.0,-0.2053,0.1363,0.1704,-0.0341,,
2022-02-22,3.0,2.0,0.0142,-0.1919,-0.0814,-0.1105,,
2022-02-23,4.0,5.0,-0.1994,-0.3494,-0.1759,-0.1735,,
2022-02-24,-5.0,-3.0,0.2357,-0.2489,0.13,-0.3789,,
2022-02-25,2.0,1.0,-0.1803,0.0254,-0.0442,0.0696,,
2022-02-28,-15.0,-14.0,-0.1347,0.3705,0.5305,-0.1601,,
2022-03-01,-15.0,-11.0,0.0507,0.4145,0.4445,-0.03,,
2022-03-02,18.0,14.0,0.1488,-1.0242,-0.5531,-0.4711,,
2022-03-03,0.0,0.0,-0.0237,0.2189,0.0015,0.2174,,
2022-03-04,-9.0,-12.0,-0.0111,0.3046,0.4222,-0.1175,,
2022-03-07,6.0,4.0,0.0095,-0.5337,-0.1642,-0.3695,,
2022-03-08,9.0,8.0,-0.0253,-0.6135,-0.3045,-0.309,,
2022-03-09,7.0,8.0,-0.0063,-0.5193,-0.2875,-0.2318,,
2022-03-10,5.0,4.0,0.0601,-0.0567,-0.1557,0.099,,
2022-03-11,4.0,2.0,0.2796,-0.3048,-0.0899,-0.2149,,
2022-03-14,14.0,14.0,0.403,-1.0349,-0.5191,-0.5158,,
2022-03-15,0.0,1.0,0.0801,-0.4716,-0.0272,-0.4444,,
2022-03-16,8.0,4.0,-0.2924,0.2465,-0.1813,0.4278,,
2022-03-17,-1.0,1.0,-0.0803,0.6788,-0.0187,0.6975,,
2022-03-18,-3.0,-6.0,0.2361,0.2183,0.1991,0.0193,,
2022-03-21,19.0,18.0,-0.0897,-0.6198,-0.6763,0.0565,,
2022-03-22,6.0,6.0,0.1698,-0.3559,-0.2216,-0.1343,,
2022-03-23,-5.0,-6.0,0.0942,0.7054,0.2161,0.4893,,
2022-03-24,3.0,2.0,-0.0785,-0.3912,-0.0814,-0.3099,,
2022-03-25,18.0,14.0,-0.0188,-0.6082,-0.5531,-0.0551,,
2022-03-28,-1.0,-2.0,0.0879,0.2521,0.0673,0.1848,,
2022-03-29,-5.0,-5.0,-0.1241,0.5232,0.1874,0.3358,,
2022-03-30,-5.0,-6.0,-0.2596,0.5412,0.2161,0.3251,,
2022-03-31,-2.0,-3.0,-0.1214,0.0519,0.1045,-0.0526,,
2022-04-01,13.0,7.0,0.3653,-1.0167,-0.3098,-0.7069,,
2022-04-04,1.0,3.0,-0.0094,0.0157,-0.0931,0.1088,,
2022-04-05,13.0,12.0,0.0,0.0,-0.4532,0.4532,,
2022-04-06,1.0,7.0,-0.0456,-0.5517,-0.2078,-0.3439,,
2022-04-07,0.0,5.0,0.0157,-0.0949,-0.1419,0.047,,
2022-04-08,6.0,6.0,0.0676,-0.3751,-0.2216,-0.1535,,
2022-04-11,3.0,7.0,0.077,-0.3925,-0.2248,-0.1677,,
2022-04-12,-13.0,-7.0,-0.0644,0.0637,0.3128,-0.249,,
2022-04-13,0.0,-2.0,0.0424,0.0849,0.0588,0.0261,,
2022-04-14,13.0,13.0,0.1522,-0.5054,-0.4819,-0.0235,,
2022-04-18,0.0,2.0,-0.2276,0.0,-0.0559,0.0559,,
2022-04-19,12.0,8.0,0.4704,-0.4597,-0.33,-0.1297,,
2022-04-20,-4.0,-8.0,0.4028,0.2782,0.2649,0.0133,,
2022-04-21,9.0,5.0,0.4849,-0.305,-0.2184,-0.0866,,
2022-04-22,-2.0,0.0,0.7876,-0.1609,0.0185,-0.1794,,
2022-04-25,-10.0,-9.0,0.8806,-0.0161,0.3446,-0.3607,,
2022-04-26,-5.0,-4.0,-0.0503,0.4018,0.1587,0.2431,,
2022-04-27,2.0,5.0,0.0656,-0.3696,-0.1589,-0.2107,,
2022-04-28,5.0,3.0,0.983,-0.0376,-0.1271,0.0895,,
2022-04-29,6.0,4.0,-0.2464,-0.3011,-0.1642,-0.1369,,
2022-05-02,9.0,10.0,-0.0015,0.0,-0.3618,0.3618,,
2022-05-03,0.0,-2.0,0.0,-0.4912,0.0588,-0.5501,,
2022-05-04,-8.0,-4.0,0.0,0.4535,0.1842,0.2693,,
2022-05-05,8.0,12.0,0.6877,-0.4698,-0.4107,-0.0591,,
2022-05-06,5.0,7.0,0.1742,-0.4231,-0.2418,-0.1813,,
2022-05-09,-11.0,-7.0,0.9616,0.0,0.2958,-0.2958,,
2022-05-10,-4.0,-6.0,0.0713,0.1304,0.2076,-0.0772,,
2022-05-11,-2.0,-8.0,-0.2334,0.3468,0.2479,0.0989,,
2022-05-12,-8.0,-7.0,0.9982,-0.1137,0.2703,-0.3839,,
2022-05-13,8.0,9.0,0.0295,-0.2169,-0.3246,0.1078,,
2022-05-16,-6.0,-5.0,-0.0413,0.2223,0.1959,0.0264,,
2022-05-17,13.0,10.0,-0.7263,-0.407,-0.3958,-0.0111,,
2022-05-18,-7.0,-9.0,0.2654,0.4611,0.3191,0.142,,
2022-05-19,-5.0,-5.0,-0.6402,-0.0054,0.1874,-0.1928,,
2022-05-20,-4.0,-6.0,-0.2805,0.3458,0.2076,0.1382,,
2022-05-23,8.0,8.0,-0.6461,-0.2322,-0.296,0.0638,,
2022-05-24,-12.0,-10.0,0.0601,0.5123,0.3903,0.122,,
2022-05-25,-5.0,-1.0,0.5785,0.1881,0.0727,0.1154,,
2022-05-26,-1.0,0.0,0.691,0.1717,0.01,0.1617,,
2022-05-27,1.0,-1.0,-0.5954,0.1607,0.0217,0.139,,
2022-05-31,10.0,11.0,-0.3964,-0.1982,-0.399,0.2008,,
2022-06-01,13.0,9.0,0.2141,-0.3437,-0.3672,0.0234,,
2022-06-02,-2.0,-2.0,-0.3926,0.0592,0.0758,-0.0167,,
2022-06-03,3.0,4.0,-0.0015,0.0,-0.1387,0.1387,,
2022-06-06,8.0,8.0,-0.0916,-0.3771,-0.296,-0.0811,,
2022-06-07,-4.0,-6.0,0.2117,0.2587,0.2076,0.0512,,
2022-06-08,4.0,5.0,0.2247,-0.1077,-0.1759,0.0682,,
2022-06-09,4.0,1.0,0.1346,-0.0701,-0.0612,-0.0089,,
2022-06-10,18.0,11.0,0.2478,-0.6981,-0.467,-0.2311,,
2022-06-13,31.0,28.0,0.6671,-1.3449,-1.0651,-0.2798,,
2022-06-14,5.0,6.0,-0.2001,-0.6018,-0.2131,-0.3887,,
2022-06-15,-23.0,-16.0,-0.397,0.8821,0.6559,0.2262,,
2022-06-16,-3.0,-5.0,-0.1461,0.296,0.1704,0.1256,,
2022-06-17,-1.0,-3.0,0.1938,-0.2137,0.096,-0.3097,,
2022-06-21,4.0,6.0,-0.4178,-0.1647,-0.2046,0.0399,,
2022-06-22,-16.0,-15.0,0.1539,0.5478,0.5677,-0.0199,,
2022-06-23,-8.0,-7.0,-0.0045,0.1692,0.2703,-0.101,,
2022-06-24,4.0,4.0,-0.1524,-0.1638,-0.1472,-0.0165,,
2022-06-27,6.0,7.0,0.0314,-0.1695,-0.2503,0.0808,,
2022-06-28,1.0,0.0,0.2553,0.0055,-0.007,0.0125,,
2022-06-29,-10.0,-10.0,-0.1089,0.1913,0.3733,-0.182,,
2022-06-30,-14.0,-12.0,-0.0239,0.1583,0.4647,-0.3064,,
2022-07-01,-13.0,-10.0,0.0284,0.0,0.3988,-0.3988,,
2022-07-05,-6.0,-6.0,0.2862,0.4787,0.2246,0.2541,,
2022-07-06,14.0,11.0,-0.1817,-1.3,-0.433,-0.867,,
2022-07-07,9.0,8.0,-0.097,-0.358,-0.3045,-0.0535,,
2022-07-08,8.0,8.0,-0.0896,-0.2154,-0.296,0.0806,,
2022-07-11,-8.0,-10.0,0.343,0.3147,0.3563,-0.0416,,
2022-07-12,-4.0,-3.0,0.0878,-0.0827,0.1215,-0.2042,,
2022-07-13,1.0,-5.0,-0.0878,0.1268,0.1364,-0.0096,,
2022-07-14,4.0,5.0,0.5448,-0.3145,-0.1759,-0.1386,,
2022-07-15,-1.0,-3.0,0.034,0.0221,0.096,-0.0739,,
2022-07-18,1.0,3.0,-0.2148,-0.1548,-0.0931,-0.0618,,
2022-07-19,8.0,5.0,0.0148,-0.316,-0.2099,-0.106,,
2022-07-20,4.0,3.0,0.163,0.0222,-0.1186,0.1408,,
2022-07-21,-18.0,-13.0,0.1701,0.6528,0.5274,0.1255,,
2022-07-22,-13.0,-14.0,-0.2294,0.7089,0.5135,0.1953,,
2022-07-25,2.0,4.0,-0.0015,-0.0493,-0.1302,0.0809,,
2022-07-26,0.0,0.0,0.1732,0.0712,0.0015,0.0697,,
2022-07-27,-7.0,-3.0,-0.0681,0.104,0.147,-0.0431,,
2022-07-28,-13.0,-10.0,-0.1555,0.5127,0.3988,0.1139,,
2022-07-29,1.0,-1.0,-0.0474,0.212,0.0217,0.1903,,
2022-08-01,-4.0,-7.0,0.3568,0.3631,0.2362,0.1268,,
2022-08-02,19.0,15.0,-0.2589,-0.673,-0.5903,-0.0828,,
2022-08-03,1.0,-2.0,0.0977,0.2285,0.0503,0.1781,,
2022-08-04,-10.0,-5.0,-0.1185,0.1846,0.2299,-0.0453,,
2022-08-05,21.0,15.0,0.1806,-0.7185,-0.6073,-0.1112,,
2022-08-08,-6.0,-6.0,-0.151,0.2401,0.2246,0.0155,,
2022-08-09,6.0,3.0,0.0296,-0.1091,-0.1356,0.0265,,
2022-08-10,-4.0,-2.0,-0.4378,0.0055,0.0929,-0.0874,,
2022-08-11,5.0,9.0,0.3193,-0.0655,-0.2991,0.2337,,
2022-08-12,-1.0,-3.0,-0.0297,0.2617,0.096,0.1657,,
2022-08-15,-6.0,-5.0,0.4292,0.1958,0.1959,-0.0001,,
2022-08-16,4.0,3.0,0.236,0.0706,-0.1186,0.1892,,
2022-08-17,9.0,7.0,-0.1032,-0.4626,-0.2758,-0.1868,,
2022-08-18,-2.0,-1.0,0.0737,0.0436,0.0472,-0.0035,,
2022-08-19,9.0,10.0,0.4543,-0.3441,-0.3618,0.0177,,
2022-08-22,6.0,5.0,0.4567,-0.4112,-0.1929,-0.2183,,
2022-08-23,1.0,2.0,0.0,-0.011,-0.0644,0.0534,,
2022-08-24,2.0,6.0,0.1532,-0.0605,-0.1876,0.1271,,
2022-08-25,-5.0,-8.0,-0.1518,0.4225,0.2734,0.149,,
2022-08-26,5.0,1.0,0.347,0.1313,-0.0697,0.201,,
2022-08-29,7.0,8.0,0.511,-0.5373,-0.2875,-0.2498,,
2022-08-30,0.0,-1.0,0.0478,0.1264,0.0302,0.0962,,
2022-08-31,3.0,4.0,-0.3044,-0.2144,-0.1387,-0.0756,,
2022-09-01,9.0,11.0,0.2552,-0.4743,-0.3905,-0.0838,,
2022-09-02,-9.0,-6.0,-0.1173,0.1712,0.2501,-0.0789,,
