ex_date,div_hkd,div_usd_9141,record_date,pay_date,note,source
2021-01-06,0.11,0.014188,~2021-01-08,2021-01-13,BMO 名义派息,etnet/Yahoo9141/renavon 交叉
2021-04-01,0.11,0.014146,~2021-04-08,2021-04-14,BMO 名义派息,etnet/Yahoo9141/renavon 交叉
2021-07-02,0.11,0.014163,2021-07-05,2021-07-09,,stockanalysis/Yahoo9141/etnet
2021-10-04,0.12,0.015412,2021-10-05,2021-10-12,,stockanalysis/Yahoo9141/etnet
2022-01-04,0.12,0.015396,2022-01-05,2022-01-11,,stockanalysis/Yahoo9141/etnet
2022-04-01,0.11,0.014042,2022-04-04,2022-04-11,,stockanalysis/Yahoo9141/etnet
2022-07-06,0.11,0.014018,2022-07-07,2022-07-13,,stockanalysis/Yahoo9141/etnet
2022-10-06,0.11,0.014013,2022-10-07,2022-10-14,,stockanalysis/Yahoo9141/etnet
2023-01-04,0.11,0.014068,2023-01-05,2023-01-11,,stockanalysis/Yahoo9141/etnet
2023-04-03,0.11,0.014013,2023-04-04,2023-04-14,,stockanalysis/Yahoo9141/etnet
2023-07-06,0.11,0.014062,2023-07-07,2023-07-13,,stockanalysis/Yahoo9141
2023-10-05,0.11,0.014046,2023-10-06,2023-10-13,,stockanalysis/Yahoo9141
2024-01-03,0.11,0.014089,2024-01-04,2024-01-10,,stockanalysis/Yahoo9141
2024-04-03,0.11,0.01405,2024-04-05,2024-04-12,,stockanalysis/Yahoo9141
2024-07-03,0.12,0.015362,2024-07-04,2024-07-10,,stockanalysis/Yahoo9141
2024-10-03,0.12,0.015454,2024-10-04,2024-10-10,,stockanalysis/Yahoo9141
2025-01-03,0.12,0.015427,2025-01-06,2025-01-13,,stockanalysis/Yahoo9141
2025-04-01,0.12,0.015421,2025-04-02,2025-04-08,,stockanalysis/Yahoo9141
2025-07-02,0.12,0.015287,2025-07-03,2025-07-10,,stockanalysis/Yahoo9141
2025-10-02,0.13,0.016704,2025-10-03,2025-10-10,,stockanalysis/Yahoo9141
2026-01-05,0.13,0.016699,2026-01-06,2026-01-13,,stockanalysis/Yahoo9141
2026-04-01,0.13,0.016588,2026-04-02,2026-04-10,,stockanalysis/Yahoo9141
2026-07-02,0.13,0.016575,2026-07-03,2026-07-10,,stockanalysis/Yahoo9141
