model,caliber,conf,date,ret,var,exceed_ratio,is_doubtful,doubtful_series,near_ghost,near_event,co_3141_pct
HS250,主,95,2022-08-05,-0.7185,0.598965,1.1995692569682703,False,,False,2022-08-05 7月非农强劲 加息预期升温,0.1383
M1,主,95,2022-08-05,-0.7185,0.516809,1.390262166487039,False,,False,2022-08-05 7月非农强劲 加息预期升温,0.1383
M1d,主,95,2022-08-05,-0.7185,0.516812,1.3902540962671144,False,,False,2022-08-05 7月非农强劲 加息预期升温,0.1383
M1e,主,95,2022-08-05,-0.7185,0.547144,1.3131826356498473,False,,False,2022-08-05 7月非农强劲 加息预期升温,0.1383
M1g,主,95,2022-08-05,-0.7185,0.656998,1.093610635039985,False,,False,2022-08-05 7月非农强劲 加息预期升温,0.1383
M1g-t,主,95,2022-08-05,-0.7185,0.651922,1.102125714425959,False,,False,2022-08-05 7月非农强劲 加息预期升温,0.1383
M1,主,95,2022-08-29,-0.5373,0.526205,1.0210849383795289,False,,False,,-0.2789
M1d,主,95,2022-08-29,-0.5373,0.52621,1.0210752361224606,False,,False,,-0.2789
M1e,主,95,2022-08-29,-0.5373,0.498426,1.0779935236123317,False,,False,,-0.2789
M1,主,95,2022-09-06,-0.5368,0.530423,1.0120224801714859,False,,False,2022-09-06 人民币贬向6.9 美元指数走强,0.0
M1d,主,95,2022-09-06,-0.5368,0.530428,1.0120129404933376,False,,False,2022-09-06 人民币贬向6.9 美元指数走强,0.0
M1e,主,95,2022-09-06,-0.5368,0.516478,1.0393472713261747,False,,False,2022-09-06 人民币贬向6.9 美元指数走强,0.0
HS250,主,95,2022-09-22,-0.7129,0.60532,1.1777241789466728,False,,True,2022-09-22 FOMC鹰派点阵图 收益率上行；2022-09-26 英国迷你预算危机 全球利率上行；2022-09-28 英央行紧急购债 全球收益率回落,-0.4273
M1,主,95,2022-09-22,-0.7129,0.53299,1.337548546877052,False,,True,2022-09-22 FOMC鹰派点阵图 收益率上行；2022-09-26 英国迷你预算危机 全球利率上行；2022-09-28 英央行紧急购债 全球收益率回落,-0.4273
M1d,主,95,2022-09-22,-0.7129,0.532995,1.3375359993996192,False,,True,2022-09-22 FOMC鹰派点阵图 收益率上行；2022-09-26 英国迷你预算危机 全球利率上行；2022-09-28 英央行紧急购债 全球收益率回落,-0.4273
M1e,主,95,2022-09-22,-0.7129,0.440397,1.6187667036787263,False,,True,2022-09-22 FOMC鹰派点阵图 收益率上行；2022-09-26 英国迷你预算危机 全球利率上行；2022-09-28 英央行紧急购债 全球收益率回落,-0.4273
M1g,主,95,2022-09-22,-0.7129,0.467658,1.5244045862574787,False,,True,2022-09-22 FOMC鹰派点阵图 收益率上行；2022-09-26 英国迷你预算危机 全球利率上行；2022-09-28 英央行紧急购债 全球收益率回落,-0.4273
M1g-t,主,95,2022-09-22,-0.7129,0.455309,1.5657498533962648,False,,True,2022-09-22 FOMC鹰派点阵图 收益率上行；2022-09-26 英国迷你预算危机 全球利率上行；2022-09-28 英央行紧急购债 全球收益率回落,-0.4273
HS250,主,95,2022-09-26,-0.9128,0.60875,1.499466119096509,False,,True,2022-09-22 FOMC鹰派点阵图 收益率上行；2022-09-26 英国迷你预算危机 全球利率上行；2022-09-28 英央行紧急购债 全球收益率回落,-0.7905
M1,主,95,2022-09-26,-0.9128,0.536634,1.7009731027105994,False,,True,2022-09-22 FOMC鹰派点阵图 收益率上行；2022-09-26 英国迷你预算危机 全球利率上行；2022-09-28 英央行紧急购债 全球收益率回落,-0.7905
M1d,主,95,2022-09-26,-0.9128,0.536639,1.7009572543180798,False,,True,2022-09-22 FOMC鹰派点阵图 收益率上行；2022-09-26 英国迷你预算危机 全球利率上行；2022-09-28 英央行紧急购债 全球收益率回落,-0.7905
M1e,主,95,2022-09-26,-0.9128,0.504872,1.807983013516297,False,,True,2022-09-22 FOMC鹰派点阵图 收益率上行；2022-09-26 英国迷你预算危机 全球利率上行；2022-09-28 英央行紧急购债 全球收益率回落,-0.7905
M1g,主,95,2022-09-26,-0.9128,0.53241,1.7144681730245486,False,,True,2022-09-22 FOMC鹰派点阵图 收益率上行；2022-09-26 英国迷你预算危机 全球利率上行；2022-09-28 英央行紧急购债 全球收益率回落,-0.7905
M1g-t,主,95,2022-09-26,-0.9128,0.521534,1.7502214620715042,False,,True,2022-09-22 FOMC鹰派点阵图 收益率上行；2022-09-26 英国迷你预算危机 全球利率上行；2022-09-28 英央行紧急购债 全球收益率回落,-0.7905
M1e,主,95,2023-02-06,-0.4987,0.497011,1.0033983151278343,False,,False,,-0.7008
HS250,主,95,2023-02-21,-0.6756,0.55368,1.2201993931512787,False,,False,,0.1434
M1,主,95,2023-02-21,-0.6756,0.60439,1.1178212743427258,False,,False,,0.1434
M1d,主,95,2023-02-21,-0.6756,0.604394,1.1178138763786536,False,,False,,0.1434
M1e,主,95,2023-02-21,-0.6756,0.442931,1.5252940074187626,False,,False,,0.1434
