model,role,caliber,conf,scope,T,x,rate_pct,exp_x,n_zero,exp_x_eff,lr_uc,p_uc,p_uc_mc,lr_ind,p_ind,p_ind_mc,p_ind_mc_cond,lr_cc,p_cc,n00,n01,n10,n11,n_pairs,n_pair_dropped,x_lo,x_hi,mean_var,es,es_ratio,size_uc,size_ind
M1,主,主,95,full,1023,29,2.8348,51.15,64,47.95,11.887975,0.000565,0.00085,0.037906,0.845631,0.849,0.87065,11.925881,0.002572,965,28,28,1,1022,0,39,65,0.439786,0.548203,1.246523,0.05485,0.0773
M1,主,主,95,common773,773,22,2.846054,38.65,51,36.1,8.880496,0.002882,0.0045,0.200976,0.653934,0.67545,0.83635,9.081472,0.010666,729,21,21,1,772,0,28,51,0.395592,0.507132,1.281957,0.04965,0.07115
M1,主,主,95,common523,523,17,3.250478,26.15,35,24.400000000000002,3.825863,0.050467,0.0587,1.144771,0.284647,0.38495,0.3577,4.970634,0.083299,488,17,17,0,522,0,17,36,0.350967,0.470541,1.340699,0.04565,0.0387
M1,主,主,95,calm,724,20,2.762431,36.2,50,33.7,9.04553,0.002633,0.00345,1.138134,0.286047,0.32695,0.359,10.183663,0.006147,683,20,20,0,723,0,26,48,0.392176,0.502925,1.282396,0.0527,0.066
M1,主,主,95,highvol,299,9,3.010033,14.95,14,14.25,2.889013,0.089186,0.08205,1.275835,0.258675,0.3493,0.1477,4.164848,0.124628,281,8,8,1,298,0,9,22,0.555069,0.648822,1.168903,0.0639,0.02155
M1,主,主,95,ex_doubtful,1012,29,2.865613,50.6,63,47.45,11.395665,0.000736,0.00075,0.043506,0.834775,0.8312,0.84255,11.439171,0.003281,945,27,28,1,1001,21,38,64,0.440562,0.548203,1.244328,0.054,0.07745
M1,主,主,95,ex_doubtful_all,1008,27,2.678571,50.4,62,47.300000000000004,13.66287,0.000219,0.0003,1.396239,0.237354,0.2553,0.304,15.059109,0.000537,941,25,27,0,993,29,38,64,0.440514,0.547841,1.243639,0.05225,0.0797
M1g,主,主,95,full,1023,30,2.932551,51.15,64,47.95,10.74307,0.001047,0.0016,0.016491,0.897818,0.89955,0.92325,10.759561,0.004609,963,29,29,1,1022,0,39,65,0.434799,0.54895,1.262538,0.05485,0.0773
M1g,主,主,95,common773,773,25,3.234153,38.65,51,36.1,5.768619,0.016315,0.01775,0.062782,0.802151,0.815,0.8367,5.831402,0.054166,724,23,24,1,772,0,28,51,0.388228,0.517708,1.333514,0.04965,0.07115
M1g,主,主,95,common523,523,15,2.868069,26.15,35,24.400000000000002,5.874401,0.015363,0.01785,0.887703,0.3461,0.4358,0.42805,6.762104,0.034012,492,15,15,0,522,0,17,36,0.352549,0.49524,1.40474,0.04565,0.0387
M1g,主,主,95,calm,724,24,3.314917,36.2,50,33.7,4.886878,0.027062,0.0346,1.648393,0.199178,0.26315,0.2593,6.535271,0.038096,675,24,24,0,723,0,26,48,0.376318,0.514596,1.367448,0.0527,0.066
M1g,主,主,95,highvol,299,6,2.006689,14.95,14,14.25,7.223663,0.007195,0.00855,2.7486,0.09734,0.0548,0.04115,9.972263,0.006832,287,5,5,1,298,0,9,22,0.576404,0.686367,1.190774,0.0639,0.02155
M1g,主,主,95,ex_doubtful,1012,30,2.964427,50.6,63,47.45,10.273027,0.00135,0.0017,0.020002,0.887533,0.8786,0.8925,10.293029,0.00582,943,28,29,1,1001,21,38,64,0.435576,0.54895,1.260285,0.054,0.07745
M1g,主,主,95,ex_doubtful_all,1008,28,2.777778,50.4,62,47.300000000000004,12.403885,0.000428,0.00045,1.507443,0.21953,0.2458,0.2785,13.911328,0.000953,939,26,28,0,993,29,38,64,0.43555,0.548654,1.259681,0.05225,0.0797
M1e,主,主,95,full,1023,45,4.398827,51.15,64,47.95,0.809836,0.368169,0.38715,0.00019,0.988993,0.99685,0.9964,0.810026,0.666968,934,43,43,2,1022,0,39,65,0.401578,0.481804,1.199777,0.05485,0.0773
M1e,主,主,95,common773,773,36,4.65718,38.65,51,36.1,0.195547,0.658339,0.68505,0.085523,0.769948,0.77915,0.7831,0.28107,0.868893,703,33,34,2,772,0,28,51,0.355893,0.449219,1.262233,0.04965,0.07115
M1e,主,主,95,common523,523,25,4.780115,26.15,35,24.400000000000002,0.053991,0.816258,0.8426,0.037813,0.84582,0.86085,0.8616,0.091804,0.955136,473,24,24,1,522,0,17,36,0.318967,0.412232,1.292396,0.04565,0.0387
M1e,主,主,95,calm,724,36,4.972376,36.2,50,33.7,0.001165,0.97277,1.0,0.45521,0.499871,0.5238,0.5279,0.456376,0.795975,652,35,35,1,723,0,26,48,0.342084,0.444172,1.29843,0.0527,0.066
M1e,主,主,95,highvol,299,9,3.010033,14.95,14,14.25,2.889013,0.089186,0.08205,1.275835,0.258675,0.3493,0.1477,4.164848,0.124628,281,8,8,1,298,0,9,22,0.545637,0.632333,1.158889,0.0639,0.02155
M1e,主,主,95,ex_doubtful,1012,44,4.347826,50.6,63,47.45,0.946155,0.3307,0.35025,0.006863,0.933977,0.92665,0.93195,0.953018,0.620947,916,41,42,2,1001,21,38,64,0.402365,0.484968,1.205293,0.054,0.07745
M1e,主,主,95,ex_doubtful_all,1008,42,4.166667,50.4,62,47.300000000000004,1.558459,0.211891,0.22185,0.356801,0.550288,0.5662,0.56375,1.91526,0.383801,912,39,41,1,993,29,38,64,0.402358,0.481724,1.197253,0.05225,0.0797
M1g-t,对照-t估σ+正态分位,主,95,full,1023,29,2.8348,51.15,64,47.95,11.887975,0.000565,0.00085,0.037906,0.845631,0.849,0.87065,11.925881,0.002572,965,28,28,1,1022,0,39,65,0.431599,0.5526,1.280355,0.05485,0.0773
M1g-t,对照-t估σ+正态分位,主,95,common773,773,24,3.104787,38.65,51,36.1,6.718676,0.009541,0.0108,0.108198,0.742205,0.7558,0.8165,6.826875,0.032928,726,22,23,1,772,0,28,51,0.386987,0.520817,1.345824,0.04965,0.07115
M1g-t,对照-t估σ+正态分位,主,95,common523,523,14,2.676864,26.15,35,24.400000000000002,7.100552,0.007706,0.00965,0.771751,0.379676,0.45825,0.4545,7.872303,0.019523,494,14,14,0,522,0,17,36,0.350979,0.498964,1.421635,0.04565,0.0387
M1g-t,对照-t估σ+正态分位,主,95,calm,724,23,3.176796,36.2,50,33.7,5.787739,0.016138,0.01825,1.511701,0.21888,0.27825,0.2856,7.299439,0.025998,677,23,23,0,723,0,26,48,0.374643,0.517704,1.381861,0.0527,0.066
M1g-t,对照-t估σ+正态分位,主,95,highvol,299,6,2.006689,14.95,14,14.25,7.223663,0.007195,0.00855,2.7486,0.09734,0.0548,0.04115,9.972263,0.006832,287,5,5,1,298,0,9,22,0.569513,0.686367,1.205182,0.0639,0.02155
M1g-t,对照-t估σ+正态分位,主,95,ex_doubtful,1012,29,2.865613,50.6,63,47.45,11.395665,0.000736,0.00075,0.043506,0.834775,0.8312,0.84255,11.439171,0.003281,945,27,28,1,1001,21,38,64,0.43236,0.5526,1.278101,0.054,0.07745
M1g-t,对照-t估σ+正态分位,主,95,ex_doubtful_all,1008,27,2.678571,50.4,62,47.300000000000004,13.66287,0.000219,0.0003,1.396239,0.237354,0.2553,0.304,15.059109,0.000537,941,25,27,0,993,29,38,64,0.432332,0.552563,1.278099,0.05225,0.0797
M1d,恒等式-不作独立证据,主,95,full,1023,29,2.8348,51.15,64,47.95,11.887975,0.000565,0.00085,0.037906,0.845631,0.849,0.87065,11.925881,0.002572,965,28,28,1,1022,0,39,65,0.439785,0.548203,1.246525,0.05485,0.0773
M1d,恒等式-不作独立证据,主,95,common773,773,22,2.846054,38.65,51,36.1,8.880496,0.002882,0.0045,0.200976,0.653934,0.67545,0.83635,9.081472,0.010666,729,21,21,1,772,0,28,51,0.39559,0.507132,1.281964,0.04965,0.07115
M1d,恒等式-不作独立证据,主,95,common523,523,17,3.250478,26.15,35,24.400000000000002,3.825863,0.050467,0.0587,1.144771,0.284647,0.38495,0.3577,4.970634,0.083299,488,17,17,0,522,0,17,36,0.350964,0.470541,1.340709,0.04565,0.0387
M1d,恒等式-不作独立证据,主,95,calm,724,20,2.762431,36.2,50,33.7,9.04553,0.002633,0.00345,1.138134,0.286047,0.32695,0.359,10.183663,0.006147,683,20,20,0,723,0,26,48,0.392174,0.502925,1.282402,0.0527,0.066
M1d,恒等式-不作独立证据,主,95,highvol,299,9,3.010033,14.95,14,14.25,2.889013,0.089186,0.08205,1.275835,0.258675,0.3493,0.1477,4.164848,0.124628,281,8,8,1,298,0,9,22,0.555072,0.648822,1.168898,0.0639,0.02155
M1d,恒等式-不作独立证据,主,95,ex_doubtful,1012,29,2.865613,50.6,63,47.45,11.395665,0.000736,0.00075,0.043506,0.834775,0.8312,0.84255,11.439171,0.003281,945,27,28,1,1001,21,38,64,0.440561,0.548203,1.24433,0.054,0.07745
M1d,恒等式-不作独立证据,主,95,ex_doubtful_all,1008,27,2.678571,50.4,62,47.300000000000004,13.66287,0.000219,0.0003,1.396239,0.237354,0.2553,0.304,15.059109,0.000537,941,25,27,0,993,29,38,64,0.440513,0.547841,1.243641,0.05225,0.0797
HS250,主,主,95,full,1023,44,4.301075,51.15,64,47.95,1.102063,0.293814,0.314,0.006331,0.93658,0.94635,0.94875,1.108394,0.574533,936,42,42,2,1022,0,39,65,0.408021,0.482443,1.182397,0.05485,0.0773
HS250,主,主,95,common773,773,38,4.915912,38.65,51,36.1,0.011568,0.914347,0.93285,0.009724,0.921447,0.92955,0.9327,0.021293,0.98941,698,36,36,2,772,0,28,51,0.354431,0.447332,1.262111,0.04965,0.07115
HS250,主,主,95,common523,523,28,5.353728,26.15,35,24.400000000000002,0.134795,0.713511,0.7608,0.209783,0.646938,0.67345,0.66995,0.344578,0.841736,467,27,27,1,522,0,17,36,0.309788,0.408839,1.319739,0.04565,0.0387
HS250,主,主,95,calm,724,33,4.558011,36.2,50,33.7,0.306462,0.579859,0.6119,0.209813,0.646914,0.6728,0.67035,0.516275,0.772489,658,32,32,1,723,0,26,48,0.35369,0.442573,1.251301,0.0527,0.066
HS250,主,主,95,highvol,299,11,3.67893,14.95,14,14.25,1.204723,0.27238,0.29645,0.683844,0.408266,0.59965,0.5662,1.888568,0.388958,277,10,10,1,298,0,9,22,0.53958,0.602055,1.115784,0.0639,0.02155
HS250,主,主,95,ex_doubtful,1012,43,4.249012,50.6,63,47.45,1.263296,0.261028,0.2806,0.02245,0.880897,0.877,0.88355,1.285746,0.52578,918,40,41,2,1001,21,38,64,0.408826,0.485695,1.188023,0.054,0.07745
HS250,主,主,95,ex_doubtful_all,1008,41,4.06746,50.4,62,47.300000000000004,1.965605,0.160915,0.1713,0.287459,0.591854,0.6077,0.59555,2.253064,0.324156,914,38,40,1,993,29,38,64,0.408762,0.482407,1.180166,0.05225,0.0797
HS500,主,主,95,full,773,20,2.587322,38.65,51,36.1,11.417107,0.000728,0.00145,0.375662,0.539934,0.551,0.8247,11.792769,0.002749,733,19,19,1,772,0,28,51,0.410782,0.52387,1.275301,0.04965,0.07115
HS500,主,主,95,common773,773,20,2.587322,38.65,51,36.1,11.417107,0.000728,0.00145,0.375662,0.539934,0.551,0.8247,11.792769,0.002749,733,19,19,1,772,0,28,51,0.410782,0.52387,1.275301,0.04965,0.07115
HS500,主,主,95,common523,523,15,2.868069,26.15,35,24.400000000000002,5.874401,0.015363,0.01785,0.887703,0.3461,0.4358,0.42805,6.762104,0.034012,492,15,15,0,522,0,17,36,0.361447,0.48798,1.350075,0.04565,0.0387
