model,caliber,g1_pass_rate,g2_prudent,cal_dev_mean,cal_dev_95,cal_dev_99,cap_idx_95,cap_idx_99,rate_95,rate_99,gap_95,gap_99,gap_95_eval,n_ind_max,tier,reason
M1,主,False,True,0.2626,0.4308,0.0944,1.0,1.0,2.8461,0.9056,0.2476,0.6324,True,0,淘汰,95% Kupiec 未过 3/5 个核心范围
M1g,主,False,True,0.2238,0.3532,0.0944,0.9814,0.9814,3.2342,0.9056,1.3082,0.298,True,1,淘汰,95% Kupiec 未过 5/5 个核心范围
M1e,主,True,False,0.3105,0.0686,0.5524,0.8996,0.8996,4.6572,1.5524,1.9623,0.6541,True,0,淘汰,99% 失败率 1.55% 超名义 1% 的 55%
HS250,主,True,True,0.0258,0.0168,0.0349,0.896,0.9583,4.9159,1.0349,0.8791,0.7705,True,0,推荐,—
HS500,主,False,True,0.4825,0.4825,0.4825,1.0384,1.0717,2.5873,0.5175,0.355,0.5839,False,1,淘汰,95% Kupiec 未过 4/5 个核心范围
HS750,主,False,True,0.7323,0.6558,0.8088,1.0697,1.1047,1.7208,0.1912,,,False,0,淘汰,95% Kupiec 未过 4/4 个核心范围
FHS-E,主,True,False,0.2807,0.1384,0.423,0.8114,0.9248,5.6921,1.423,1.294,1.6058,False,0,淘汰,95% 失败率 5.69% 超名义 5% 的 14%；99% 失败率 1.42% 超名义 1% 的 42%
FHS-G,主,True,False,0.2549,0.0867,0.423,0.8269,0.8899,5.4334,1.423,2.2843,1.6058,False,1,淘汰,99% 失败率 1.42% 超名义 1% 的 42%
M1,次,True,True,0.1537,0.2188,0.0885,1.0,1.0,3.9062,0.9115,0.9671,0.894,True,0,推荐,—
M1g,次,True,True,0.2839,0.2188,0.349,0.9717,0.9717,3.9062,0.651,1.3015,0.1656,True,0,推荐,—
M1e,次,True,False,0.1719,0.0417,0.3021,0.8697,0.8697,5.2083,1.3021,1.0764,0.1921,True,0,淘汰,99% 失败率 1.30% 超名义 1% 的 30%
HS250,次,True,True,0.1145,0.1406,0.0885,0.9473,1.0919,4.2969,0.9115,1.3843,1.0331,True,1,推荐,—
HS500,次,False,True,0.4271,0.375,0.4792,1.0756,1.2733,3.125,0.5208,3.5294,0.5882,False,6,淘汰,95% Kupiec 未过 3/5 个核心范围；聚集性存疑 ×6
HS750,次,False,True,0.7105,0.6139,0.807,1.1008,1.2893,1.9305,0.193,,,False,0,淘汰,95% Kupiec 未过 4/4 个核心范围
FHS-E,次,True,False,0.1849,0.0677,0.3021,0.841,0.933,5.3385,1.3021,0.8957,1.4706,False,0,淘汰,99% 失败率 1.30% 超名义 1% 的 30%
FHS-G,次,True,False,0.2761,0.1198,0.4323,0.8331,0.9254,5.599,1.4323,1.1898,1.6176,False,0,淘汰,95% 失败率 5.60% 超名义 5% 的 12%；99% 失败率 1.43% 超名义 1% 的 43%
