model,caliber,delta_src,window,event_date,e_date,event_cn,market,r_actual_pct,r_pred_pct,dev_pct,understate,d5y_sum_bp,d10y_sum_bp,rate_shock_bp,dev_param_pct,dev_credit_pct,r2_delta_src
M2 利率双因子,主,A 全样本δ,1日,2021-10-12,2021-10-12,中资房企信用危机(恒大等)美元债抛售传染,credit,-0.1952,0.0496,-0.2448,True,3.0,-2.0,5.0,0.0,-0.2448,0.7568
M2 利率双因子,主,A 全样本δ,1日,2021-11-04,2021-11-04,英央行意外不加息 美债收益率回落,rate,0.2817,0.2887,-0.007,True,-9.0,-7.0,16.0,0.0,-0.007,0.7568
M2 利率双因子,主,A 全样本δ,1日,2021-11-10,2021-11-10,美国10月CPI同比6.2%创31年新高,rate,-0.399,-0.3946,-0.0044,True,15.0,10.0,25.0,0.0,-0.0044,0.7568
M2 利率双因子,主,A 全样本δ,1日,2021-11-26,2021-11-26,奥密克戎变异株恐慌 全球避险,rate,0.4706,0.6218,-0.1512,True,-18.0,-16.0,34.0,0.0,-0.1512,0.7568
M2 利率双因子,主,A 全样本δ,1日,2021-12-09,2021-12-09,恒大正式违约 美元走强,credit+fx,0.1745,0.1097,0.0648,False,-1.0,-3.0,4.0,0.0,0.0648,0.7568
M2 利率双因子,主,A 全样本δ,1日,2022-01-18,2022-01-18,美联储紧缩预期发酵 收益率飙升,credit+rate,-0.6279,-0.3268,-0.3011,True,10.0,9.0,19.0,0.0,-0.3011,0.7568
M2 利率双因子,主,A 全样本δ,1日,2022-01-27,2022-01-27,美联储1月会议转鹰(鲍威尔),rate+fx,0.1496,0.1313,0.0183,False,0.0,-4.0,4.0,0.0,0.0183,0.7568
M2 利率双因子,主,A 全样本δ,1日,2022-02-07,2022-02-07,节后风险偏好回落 美债调整,credit,-0.0603,0.0589,-0.1192,True,-2.0,-1.0,3.0,0.0,-0.1192,0.7568
M2 利率双因子,主,A 全样本δ,1日,2022-02-28,2022-02-28,俄乌开战 避险与通胀双线,rate,0.3705,0.5401,-0.1696,True,-15.0,-14.0,29.0,0.0,-0.1696,0.7568
M2 利率双因子,主,A 全样本δ,1日,2022-03-15,2022-03-15,美联储开启加息周期(3/16加息25bp)前风险偏好,credit+rate,-0.4716,-0.0152,-0.4564,True,0.0,1.0,1.0,0.0,-0.4564,0.7568
M2 利率双因子,主,A 全样本δ,1日,2022-03-17,2022-03-17,加息落地 利空出尽反弹,credit,0.6788,-0.0075,0.6863,False,-1.0,1.0,2.0,0.0,0.6863,0.7568
M2 利率双因子,主,A 全样本δ,1日,2022-03-28,2022-03-28,上海疫情封控 增长担忧,credit+fx,0.2521,0.0804,0.1717,False,-1.0,-2.0,3.0,0.0,0.1717,0.7568
M2 利率双因子,主,A 全样本δ,1日,2022-04-25,2022-04-25,人民币快速贬值(疫情封控+中美利差倒挂),fx,-0.0161,0.355,-0.3711,True,-10.0,-9.0,19.0,0.0,-0.3711,0.7568
M2 利率双因子,主,A 全样本δ,1日,2022-05-12,2022-05-12,人民币续贬 中美利差倒挂加深,fx,-0.1137,0.281,-0.3947,True,-8.0,-7.0,15.0,0.0,-0.3947,0.7568
M2 利率双因子,主,A 全样本δ,1日,2022-05-03,2022-05-03,5月FOMC前风险偏好弱 债市调整,credit,-0.4912,0.0727,-0.5639,True,0.0,-2.0,2.0,0.0,-0.5639,0.7568
