model,caliber,delta_src,window,n,dev_mean,dev_median,dev_sd,dev_p05,dev_p95,absdev_mean,absdev_p90,absdev_max,under_share,under_mean,under_worst,credit_share,rate_shock_med_bp
M2 利率双因子,主,A 全样本δ,1日,85,0.0032,0.0077,0.2343,-0.3615,0.3059,0.1531,0.3372,1.1147,0.4941,-0.1518,-0.5639,1.0,17.0
M2 利率双因子,主,A 全样本δ,3日(主),85,0.0579,0.0255,0.383,-0.4752,0.793,0.2741,0.6006,1.4354,0.4471,-0.2418,-0.7957,1.0,17.0
M2 利率双因子,主,A 全样本δ,5日,85,0.067,0.048,0.4684,-0.8325,0.7744,0.3481,0.833,1.3606,0.3882,-0.3621,-1.0314,1.0,20.0
M2 利率双因子,主,B 事件前δ,1日,85,0.0118,0.0094,0.2389,-0.3789,0.3216,0.1554,0.3365,1.1595,0.4588,-0.1565,-0.5545,0.8838,17.0
M2 利率双因子,主,B 事件前δ,3日(主),85,0.0896,0.055,0.3852,-0.3486,0.8418,0.2737,0.6548,1.4991,0.4,-0.2301,-0.7134,0.8815,17.0
M2 利率双因子,主,B 事件前δ,5日,85,0.1201,0.0667,0.476,-0.6692,0.9583,0.3571,0.839,1.5147,0.3765,-0.3147,-0.8758,0.8542,20.0
M3 利率+ΔOAS,主,A 全样本δ,1日,42,0.0295,0.0124,0.1272,-0.1021,0.187,0.0849,0.179,0.5084,0.4286,-0.0646,-0.3092,1.0,15.0
M3 利率+ΔOAS,主,A 全样本δ,3日(主),42,0.0332,0.0558,0.1656,-0.2815,0.2847,0.1287,0.2876,0.4483,0.3571,-0.1337,-0.339,1.0,16.5
M3 利率+ΔOAS,主,A 全样本δ,5日,42,0.0602,0.0673,0.2374,-0.3906,0.4304,0.1792,0.4296,0.7258,0.3333,-0.1785,-0.7258,1.0,19.0
M3 利率+ΔOAS,主,B 事件前δ,1日,38,0.025,0.0092,0.1355,-0.1181,0.245,0.0929,0.1997,0.4957,0.4474,-0.0758,-0.314,0.891,12.5
M3 利率+ΔOAS,主,B 事件前δ,3日(主),38,0.0137,0.0327,0.1666,-0.2961,0.2305,0.1264,0.2927,0.4223,0.3947,-0.1428,-0.3581,0.8994,18.0
M3 利率+ΔOAS,主,B 事件前δ,5日,38,0.0243,0.0263,0.2483,-0.4337,0.4004,0.1789,0.4357,0.79,0.4737,-0.1632,-0.79,0.888,19.0
M2 利率双因子,次,A 全样本δ,1日,85,0.0032,0.0077,0.2343,-0.3615,0.3059,0.1531,0.3372,1.1147,0.4941,-0.1518,-0.5639,1.0,17.0
M2 利率双因子,次,A 全样本δ,3日(主),85,0.0579,0.0255,0.383,-0.4752,0.793,0.2741,0.6006,1.4354,0.4471,-0.2418,-0.7957,1.0,17.0
M2 利率双因子,次,A 全样本δ,5日,85,0.067,0.048,0.4684,-0.8325,0.7744,0.3481,0.833,1.3606,0.3882,-0.3621,-1.0314,1.0,20.0
M2 利率双因子,次,B 事件前δ,1日,85,0.0118,0.0094,0.2389,-0.3789,0.3216,0.1554,0.3365,1.1595,0.4588,-0.1565,-0.5545,0.8838,17.0
M2 利率双因子,次,B 事件前δ,3日(主),85,0.0896,0.055,0.3852,-0.3486,0.8418,0.2737,0.6548,1.4991,0.4,-0.2301,-0.7134,0.8815,17.0
M2 利率双因子,次,B 事件前δ,5日,85,0.1201,0.0667,0.476,-0.6692,0.9583,0.3571,0.839,1.5147,0.3765,-0.3147,-0.8758,0.8542,20.0
M3 利率+ΔOAS,次,A 全样本δ,1日,42,0.0295,0.0124,0.1272,-0.1021,0.187,0.0849,0.179,0.5084,0.4286,-0.0646,-0.3092,1.0,15.0
M3 利率+ΔOAS,次,A 全样本δ,3日(主),42,0.0332,0.0558,0.1656,-0.2815,0.2847,0.1287,0.2876,0.4483,0.3571,-0.1337,-0.339,1.0,16.5
M3 利率+ΔOAS,次,A 全样本δ,5日,42,0.0602,0.0673,0.2374,-0.3906,0.4304,0.1792,0.4296,0.7258,0.3333,-0.1785,-0.7258,1.0,19.0
M3 利率+ΔOAS,次,B 事件前δ,1日,38,0.025,0.0092,0.1355,-0.1181,0.245,0.0929,0.1997,0.4957,0.4474,-0.0758,-0.314,0.891,12.5
M3 利率+ΔOAS,次,B 事件前δ,3日(主),38,0.0137,0.0327,0.1666,-0.2961,0.2305,0.1264,0.2927,0.4223,0.3947,-0.1428,-0.3581,0.8994,18.0
M3 利率+ΔOAS,次,B 事件前δ,5日,38,0.0243,0.0263,0.2483,-0.4337,0.4004,0.1789,0.4357,0.79,0.4737,-0.1632,-0.79,0.888,19.0
