series,date,value,hit,verdict,handling,event_date,event,gap_days,note,special
FX_ret_pct,2021-10-19,-0.7306139656012567,r60+r20+pre60,存疑(无事件支撑),"仅标注,不改数",,,,,
dOAS_bp,2024-02-02,-11.99999999999999,global,存疑(无事件支撑),"仅标注,不改数",,,,,
dOAS_bp,2024-02-13,-10.000000000000009,global,存疑(无事件支撑),"仅标注,不改数",,,,,
ETF_ret_pct,2024-03-25,0.6571757694457392,r60+r20+pre60,存疑(无事件支撑),"仅标注,不改数",,,,,
dOAS_bp,2024-06-07,-8.000000000000007,r60+pre60,存疑(无事件支撑),"仅标注,不改数",,,,,
ETF_ret_pct,2024-06-11,-0.5503642909914674,r60+pre60,存疑(无事件支撑),"仅标注,不改数",,,,,
ETF_ret_pct,2024-07-17,0.5467467990256214,r60+r20+pre60,存疑(无事件支撑),"仅标注,不改数",,,,,
ETF_ret_pct,2024-09-10,1.0626997304420849,global+r60+r20+pre60,存疑(无事件支撑),"仅标注,不改数",,,,,无事件强支撑且与3141反向 → 存疑
FX_ret_pct,2025-01-21,-0.7358163110386728,r60+r20+pre60,存疑(无事件支撑),"仅标注,不改数",,,,,
ETF_ret_pct,2025-03-24,0.6417115654830052,r60+r20+pre60,存疑(无事件支撑),"仅标注,不改数",,,,,
ETF_ret_pct,2025-07-07,1.2296330800474098,global+r60+r20+pre60,存疑(无事件支撑),"仅标注,不改数",,,,,
ETF_ret_pct,2025-09-08,0.5271558067340032,r20,存疑(无事件支撑),"仅标注,不改数",,,,,
ETF_ret_pct,2026-02-06,0.5232800428920603,r60+r20+pre60,存疑(无事件支撑),"仅标注,不改数",,,,,
ETF_ret_pct,2026-04-01,0.5635789697131299,r60+pre60,存疑(无事件支撑),"仅标注,不改数",,,,,
ETF_ret_pct,2026-07-02,0.5616876941020088,r60+r20+pre60,存疑(无事件支撑),"仅标注,不改数",,,,,
ETF_ret_pct,2026-07-06,-0.6376198291361934,r60+r20+pre60,存疑(无事件支撑),"仅标注,不改数",,,,,
