model,caliber,conf,n_pass_uc_core,n_core_scopes,pass_core,under_coverage,prudent,rate_base_pct,nominal_pct,rate_over_nominal,cal_dev,cap_idx_vs_M1,mean_var_base_pct,T_base,es_base_pct,rate_full_pct,rate_highvol_pct,rate_calm_pct,T_highvol,stab_scope_pp,gap_regime_pp,signed_gap_pp,gap_evaluable,n_ind_suspect,verdict
M1,主,95,2,5,False,False,True,2.8461,5.0,0.5692,0.4308,1.0,0.3956,773,0.5071,2.8348,3.01,2.7624,299,0.1954,0.2476,0.2476,True,0,淘汰
M1g,主,95,0,5,False,False,True,3.2342,5.0,0.6468,0.3532,0.9814,0.3882,773,0.5177,2.9326,2.0067,3.3149,299,0.5196,1.3082,-1.3082,True,1,淘汰
M1e,主,95,5,5,True,False,True,4.6572,5.0,0.9314,0.0686,0.8996,0.3559,773,0.4492,4.3988,3.01,4.9724,299,0.7848,1.9623,-1.9623,True,0,淘汰
HS250,主,95,5,5,True,False,True,4.9159,5.0,0.9832,0.0168,0.896,0.3544,773,0.4473,4.3011,3.6789,4.558,299,0.6325,0.8791,-0.8791,True,0,推荐
HS500,主,95,1,5,False,False,True,2.5873,5.0,0.5175,0.4825,1.0384,0.4108,773,0.5239,2.5873,2.2727,2.6277,88,0.2118,0.355,-0.355,False,1,淘汰
HS750,主,95,0,4,False,False,True,1.7208,5.0,0.3442,0.6558,1.0697,0.4232,523,0.5577,1.7208,,1.7544,0,0.0168,,,False,0,淘汰
FHS-E,主,95,5,5,True,False,False,5.6921,5.0,1.1384,0.1384,0.8114,0.321,773,0.4253,5.6921,4.5455,5.8394,88,0.5376,1.294,-1.294,False,0,淘汰
FHS-G,主,95,5,5,True,False,True,5.4334,5.0,1.0867,0.0867,0.8269,0.3271,773,0.4346,5.4334,3.4091,5.6934,88,0.9528,2.2843,-2.2843,False,1,淘汰
M1,主,99,5,5,True,False,True,0.9056,1.0,0.9056,0.0944,1.0,0.5595,773,0.6804,0.782,0.3344,0.9669,299,0.2645,0.6324,-0.6324,True,0,淘汰
M1g,主,99,5,5,True,False,True,0.9056,1.0,0.9056,0.0944,0.9814,0.5491,773,0.6271,0.8798,0.6689,0.9669,299,0.1209,0.298,-0.298,True,0,淘汰
