direction,window_days,is_main_horizon,caliber,anchor_date,shock_sum,mild_1x_loss_pct,extreme_2x_loss_pct,registered_mild_pct,registered_extreme_pct
利率上行,1,True,主,2022-06-13,59.0,1.0596,2.1193,1.0596,2.1193
利率上行,3,False,主,2022-06-14,99.0,1.7352,3.4704,,
利率上行,5,False,主,2022-06-14,113.0,1.9728,3.9455,,
利率上行,6,False,主,2022-06-13,108.0,1.8478,3.6957,,
信用利差走阔,1,True,主,2023-12-13,15.0,0.2085,0.4171,0.2085,0.4171
信用利差走阔,3,False,主,2023-12-13,18.0,0.2502,0.5005,,
信用利差走阔,5,False,主,2025-04-09,23.0,0.3198,0.6395,,
信用利差走阔,6,False,主,2025-04-09,22.0,0.3059,0.6117,,
离岸汇率贬值,1,True,次,2022-11-14,1.5854,1.5854,3.1708,1.5854,3.1708
离岸汇率贬值,3,False,次,2022-11-15,2.7459,2.7459,5.4918,,
离岸汇率贬值,5,False,次,2022-12-05,3.4785,3.4785,6.957,,
离岸汇率贬值,6,False,次,2022-11-15,3.5644,3.5644,7.1288,,
