buffer_label,buffer_value,scenario_id,scenario_name,caliber,horizon_days,loss_net_pct,es_1d_99_pct,tail_flag
0.0000 不缓冲,0.0,H1,2022 美联储快速加息,主,1,1.3449,0.6659,是
0.0000 不缓冲,0.0,H1,2022 美联储快速加息,次,1,0.8019,0.7024,是
0.0000 不缓冲,0.0,H2,2023 美国银行业风波,主,1,0.562,0.6659,否
0.0000 不缓冲,0.0,H2,2023 美国银行业风波,次,1,0.5576,0.7024,否
0.0000 不缓冲,0.0,H3,2025 关税冲击,主,1,1.1491,0.6659,是
0.0000 不缓冲,0.0,H3,2025 关税冲击,次,1,0.768,0.7024,是
0.0000 不缓冲,0.0,X1,2022 离岸人民币贬值(补充),主,1,0.3084,0.6659,否
0.0000 不缓冲,0.0,X1,2022 离岸人民币贬值(补充),次,1,1.1382,0.7024,是
0.0000 不缓冲,0.0,X2,2022 俄乌与加息周期开启(补充),主,1,1.0349,0.6659,是
0.0000 不缓冲,0.0,X2,2022 俄乌与加息周期开启(补充),次,1,0.6388,0.7024,否
0.0000 不缓冲,0.0,S01,利率上行·轻度,主,1,1.0596,0.6659,是
0.0000 不缓冲,0.0,S01,利率上行·轻度,次,1,1.0596,0.7024,是
0.0000 不缓冲,0.0,S02,利率上行·中度,主,1,1.5895,0.6659,是
0.0000 不缓冲,0.0,S02,利率上行·中度,次,1,1.5895,0.7024,是
0.0000 不缓冲,0.0,S03,利率上行·极端,主,1,2.1193,0.6659,是
0.0000 不缓冲,0.0,S03,利率上行·极端,次,1,2.1193,0.7024,是
0.0000 不缓冲,0.0,S04,信用利差走阔·轻度,主,1,0.2085,0.6659,否
0.0000 不缓冲,0.0,S04,信用利差走阔·轻度,次,1,0.2085,0.7024,否
0.0000 不缓冲,0.0,S05,信用利差走阔·中度,主,1,0.3128,0.6659,否
0.0000 不缓冲,0.0,S05,信用利差走阔·中度,次,1,0.3128,0.7024,否
0.0000 不缓冲,0.0,S06,信用利差走阔·极端,主,1,0.4171,0.6659,否
0.0000 不缓冲,0.0,S06,信用利差走阔·极端,次,1,0.4171,0.7024,否
0.0000 不缓冲,0.0,S07,离岸汇率贬值·轻度,主,1,0.0,0.6659,否
0.0000 不缓冲,0.0,S07,离岸汇率贬值·轻度,次,1,1.5854,0.7024,是
0.0000 不缓冲,0.0,S08,离岸汇率贬值·中度,主,1,0.0,0.6659,否
0.0000 不缓冲,0.0,S08,离岸汇率贬值·中度,次,1,2.3781,0.7024,是
0.0000 不缓冲,0.0,S09,离岸汇率贬值·极端,主,1,0.0,0.6659,否
0.0000 不缓冲,0.0,S09,离岸汇率贬值·极端,次,1,3.1708,0.7024,是
0.0000 不缓冲,0.0,S10,利率+信用同时恶化·极端,主,1,2.5363,0.6659,是
0.0000 不缓冲,0.0,S10,利率+信用同时恶化·极端,次,1,2.5363,0.7024,是
0.1997 信用 1 日,0.1997,H1,2022 美联储快速加息,主,1,1.3449,0.6659,是
0.1997 信用 1 日,0.1997,H1,2022 美联储快速加息,次,1,0.8019,0.7024,是
0.1997 信用 1 日,0.1997,H2,2023 美国银行业风波,主,1,0.562,0.6659,否
0.1997 信用 1 日,0.1997,H2,2023 美国银行业风波,次,1,0.5576,0.7024,否
0.1997 信用 1 日,0.1997,H3,2025 关税冲击,主,1,1.1491,0.6659,是
0.1997 信用 1 日,0.1997,H3,2025 关税冲击,次,1,0.768,0.7024,是
0.1997 信用 1 日,0.1997,X1,2022 离岸人民币贬值(补充),主,1,0.3084,0.6659,否
0.1997 信用 1 日,0.1997,X1,2022 离岸人民币贬值(补充),次,1,1.1382,0.7024,是
0.1997 信用 1 日,0.1997,X2,2022 俄乌与加息周期开启(补充),主,1,1.0349,0.6659,是
0.1997 信用 1 日,0.1997,X2,2022 俄乌与加息周期开启(补充),次,1,0.6388,0.7024,否
0.1997 信用 1 日,0.1997,S01,利率上行·轻度,主,1,1.2593,0.6659,是
0.1997 信用 1 日,0.1997,S01,利率上行·轻度,次,1,1.2593,0.7024,是
0.1997 信用 1 日,0.1997,S02,利率上行·中度,主,1,1.7892,0.6659,是
0.1997 信用 1 日,0.1997,S02,利率上行·中度,次,1,1.7892,0.7024,是
0.1997 信用 1 日,0.1997,S03,利率上行·极端,主,1,2.319,0.6659,是
0.1997 信用 1 日,0.1997,S03,利率上行·极端,次,1,2.319,0.7024,是
0.1997 信用 1 日,0.1997,S04,信用利差走阔·轻度,主,1,0.4082,0.6659,否
0.1997 信用 1 日,0.1997,S04,信用利差走阔·轻度,次,1,0.4082,0.7024,否
0.1997 信用 1 日,0.1997,S05,信用利差走阔·中度,主,1,0.5125,0.6659,否
0.1997 信用 1 日,0.1997,S05,信用利差走阔·中度,次,1,0.5125,0.7024,否
0.1997 信用 1 日,0.1997,S06,信用利差走阔·极端,主,1,0.6168,0.6659,否
0.1997 信用 1 日,0.1997,S06,信用利差走阔·极端,次,1,0.6168,0.7024,否
0.1997 信用 1 日,0.1997,S07,离岸汇率贬值·轻度,主,1,0.0,0.6659,否
0.1997 信用 1 日,0.1997,S07,离岸汇率贬值·轻度,次,1,1.5854,0.7024,是
0.1997 信用 1 日,0.1997,S08,离岸汇率贬值·中度,主,1,0.0,0.6659,否
0.1997 信用 1 日,0.1997,S08,离岸汇率贬值·中度,次,1,2.3781,0.7024,是
0.1997 信用 1 日,0.1997,S09,离岸汇率贬值·极端,主,1,0.0,0.6659,否
0.1997 信用 1 日,0.1997,S09,离岸汇率贬值·极端,次,1,3.1708,0.7024,是
0.1997 信用 1 日,0.1997,S10,利率+信用同时恶化·极端,主,1,2.736,0.6659,是
0.1997 信用 1 日,0.1997,S10,利率+信用同时恶化·极端,次,1,2.736,0.7024,是
0.3365 本报告取值,0.3365,H1,2022 美联储快速加息,主,1,1.3449,0.6659,是
0.3365 本报告取值,0.3365,H1,2022 美联储快速加息,次,1,0.8019,0.7024,是
0.3365 本报告取值,0.3365,H2,2023 美国银行业风波,主,1,0.562,0.6659,否
0.3365 本报告取值,0.3365,H2,2023 美国银行业风波,次,1,0.5576,0.7024,否
0.3365 本报告取值,0.3365,H3,2025 关税冲击,主,1,1.1491,0.6659,是
0.3365 本报告取值,0.3365,H3,2025 关税冲击,次,1,0.768,0.7024,是
0.3365 本报告取值,0.3365,X1,2022 离岸人民币贬值(补充),主,1,0.3084,0.6659,否
0.3365 本报告取值,0.3365,X1,2022 离岸人民币贬值(补充),次,1,1.1382,0.7024,是
0.3365 本报告取值,0.3365,X2,2022 俄乌与加息周期开启(补充),主,1,1.0349,0.6659,是
0.3365 本报告取值,0.3365,X2,2022 俄乌与加息周期开启(补充),次,1,0.6388,0.7024,否
0.3365 本报告取值,0.3365,S01,利率上行·轻度,主,1,1.3961,0.6659,是
0.3365 本报告取值,0.3365,S01,利率上行·轻度,次,1,1.3961,0.7024,是
0.3365 本报告取值,0.3365,S02,利率上行·中度,主,1,1.926,0.6659,是
0.3365 本报告取值,0.3365,S02,利率上行·中度,次,1,1.926,0.7024,是
0.3365 本报告取值,0.3365,S03,利率上行·极端,主,1,2.4558,0.6659,是
0.3365 本报告取值,0.3365,S03,利率上行·极端,次,1,2.4558,0.7024,是
0.3365 本报告取值,0.3365,S04,信用利差走阔·轻度,主,1,0.545,0.6659,否
0.3365 本报告取值,0.3365,S04,信用利差走阔·轻度,次,1,0.545,0.7024,否
0.3365 本报告取值,0.3365,S05,信用利差走阔·中度,主,1,0.6493,0.6659,否
0.3365 本报告取值,0.3365,S05,信用利差走阔·中度,次,1,0.6493,0.7024,否
0.3365 本报告取值,0.3365,S06,信用利差走阔·极端,主,1,0.7536,0.6659,是
0.3365 本报告取值,0.3365,S06,信用利差走阔·极端,次,1,0.7536,0.7024,是
0.3365 本报告取值,0.3365,S07,离岸汇率贬值·轻度,主,1,0.0,0.6659,否
0.3365 本报告取值,0.3365,S07,离岸汇率贬值·轻度,次,1,1.5854,0.7024,是
0.3365 本报告取值,0.3365,S08,离岸汇率贬值·中度,主,1,0.0,0.6659,否
0.3365 本报告取值,0.3365,S08,离岸汇率贬值·中度,次,1,2.3781,0.7024,是
0.3365 本报告取值,0.3365,S09,离岸汇率贬值·极端,主,1,0.0,0.6659,否
0.3365 本报告取值,0.3365,S09,离岸汇率贬值·极端,次,1,3.1708,0.7024,是
0.3365 本报告取值,0.3365,S10,利率+信用同时恶化·极端,主,1,2.8728,0.6659,是
0.3365 本报告取值,0.3365,S10,利率+信用同时恶化·极端,次,1,2.8728,0.7024,是
0.8390 五日 90 分位,0.839,H1,2022 美联储快速加息,主,1,1.3449,0.6659,是
0.8390 五日 90 分位,0.839,H1,2022 美联储快速加息,次,1,0.8019,0.7024,是
0.8390 五日 90 分位,0.839,H2,2023 美国银行业风波,主,1,0.562,0.6659,否
0.8390 五日 90 分位,0.839,H2,2023 美国银行业风波,次,1,0.5576,0.7024,否
0.8390 五日 90 分位,0.839,H3,2025 关税冲击,主,1,1.1491,0.6659,是
0.8390 五日 90 分位,0.839,H3,2025 关税冲击,次,1,0.768,0.7024,是
0.8390 五日 90 分位,0.839,X1,2022 离岸人民币贬值(补充),主,1,0.3084,0.6659,否
0.8390 五日 90 分位,0.839,X1,2022 离岸人民币贬值(补充),次,1,1.1382,0.7024,是
0.8390 五日 90 分位,0.839,X2,2022 俄乌与加息周期开启(补充),主,1,1.0349,0.6659,是
0.8390 五日 90 分位,0.839,X2,2022 俄乌与加息周期开启(补充),次,1,0.6388,0.7024,否
0.8390 五日 90 分位,0.839,S01,利率上行·轻度,主,1,1.8986,0.6659,是
0.8390 五日 90 分位,0.839,S01,利率上行·轻度,次,1,1.8986,0.7024,是
0.8390 五日 90 分位,0.839,S02,利率上行·中度,主,1,2.4285,0.6659,是
0.8390 五日 90 分位,0.839,S02,利率上行·中度,次,1,2.4285,0.7024,是
0.8390 五日 90 分位,0.839,S03,利率上行·极端,主,1,2.9583,0.6659,是
0.8390 五日 90 分位,0.839,S03,利率上行·极端,次,1,2.9583,0.7024,是
0.8390 五日 90 分位,0.839,S04,信用利差走阔·轻度,主,1,1.0475,0.6659,是
0.8390 五日 90 分位,0.839,S04,信用利差走阔·轻度,次,1,1.0475,0.7024,是
0.8390 五日 90 分位,0.839,S05,信用利差走阔·中度,主,1,1.1518,0.6659,是
0.8390 五日 90 分位,0.839,S05,信用利差走阔·中度,次,1,1.1518,0.7024,是
0.8390 五日 90 分位,0.839,S06,信用利差走阔·极端,主,1,1.2561,0.6659,是
0.8390 五日 90 分位,0.839,S06,信用利差走阔·极端,次,1,1.2561,0.7024,是
0.8390 五日 90 分位,0.839,S07,离岸汇率贬值·轻度,主,1,0.0,0.6659,否
0.8390 五日 90 分位,0.839,S07,离岸汇率贬值·轻度,次,1,1.5854,0.7024,是
0.8390 五日 90 分位,0.839,S08,离岸汇率贬值·中度,主,1,0.0,0.6659,否
0.8390 五日 90 分位,0.839,S08,离岸汇率贬值·中度,次,1,2.3781,0.7024,是
0.8390 五日 90 分位,0.839,S09,离岸汇率贬值·极端,主,1,0.0,0.6659,否
0.8390 五日 90 分位,0.839,S09,离岸汇率贬值·极端,次,1,3.1708,0.7024,是
0.8390 五日 90 分位,0.839,S10,利率+信用同时恶化·极端,主,1,3.3753,0.6659,是
0.8390 五日 90 分位,0.839,S10,利率+信用同时恶化·极端,次,1,3.3753,0.7024,是
1.0000 +1pp 压力档,1.0,H1,2022 美联储快速加息,主,1,1.3449,0.6659,是
1.0000 +1pp 压力档,1.0,H1,2022 美联储快速加息,次,1,0.8019,0.7024,是
1.0000 +1pp 压力档,1.0,H2,2023 美国银行业风波,主,1,0.562,0.6659,否
1.0000 +1pp 压力档,1.0,H2,2023 美国银行业风波,次,1,0.5576,0.7024,否
1.0000 +1pp 压力档,1.0,H3,2025 关税冲击,主,1,1.1491,0.6659,是
1.0000 +1pp 压力档,1.0,H3,2025 关税冲击,次,1,0.768,0.7024,是
1.0000 +1pp 压力档,1.0,X1,2022 离岸人民币贬值(补充),主,1,0.3084,0.6659,否
1.0000 +1pp 压力档,1.0,X1,2022 离岸人民币贬值(补充),次,1,1.1382,0.7024,是
1.0000 +1pp 压力档,1.0,X2,2022 俄乌与加息周期开启(补充),主,1,1.0349,0.6659,是
1.0000 +1pp 压力档,1.0,X2,2022 俄乌与加息周期开启(补充),次,1,0.6388,0.7024,否
1.0000 +1pp 压力档,1.0,S01,利率上行·轻度,主,1,2.0596,0.6659,是
