scenario_id,scenario_name,scenario_class,caliber,horizon_days,loss_pct,benchmark_source,loss_cum_pct,mdd_pct,hist_percentile,hist_n_obs,hist_worst_pct,hist_worst_end,exceeded_by_pct,below_worst
H1,2022 美联储快速加息,历史,主,1,1.3449,窗内最差单日,1.5368,2.6784,99.92,1273,1.3449,2022-06-13,0.0,否
H2,2023 美国银行业风波,历史,主,1,0.562,窗内最差单日,-1.9981,0.5604,97.96,1273,1.3449,2022-06-13,0.7829,是
H3,2025 关税冲击,历史,主,1,1.1491,窗内最差单日,2.2896,2.2636,99.84,1273,1.3449,2022-06-13,0.1958,是
X1,2022 离岸人民币贬值(补充),补充,主,1,0.3084,窗内最差单日,-1.437,0.3079,89.32,1273,1.3449,2022-06-13,1.0365,是
X2,2022 俄乌与加息周期开启(补充),补充,主,1,1.0349,窗内最差单日,3.0008,2.9562,99.76,1273,1.3449,2022-06-13,0.31,是
S01,利率上行·轻度,假设,主,1,1.0596,δ 映射,1.0596,1.054,99.84,1273,1.3449,2022-06-13,0.2853,是
S02,利率上行·中度,假设,主,1,1.5895,δ 映射,1.5895,1.5769,100.0,1273,1.3449,2022-06-13,-0.2446,否
S03,利率上行·极端,假设,主,1,2.1193,δ 映射,2.1193,2.097,100.0,1273,1.3449,2022-06-13,-0.7744,否
S04,信用利差走阔·轻度,假设,主,1,0.2085,δ 映射,0.2085,0.2083,82.33,1273,1.3449,2022-06-13,1.1364,是
S05,信用利差走阔·中度,假设,主,1,0.3128,δ 映射,0.3128,0.3123,89.55,1273,1.3449,2022-06-13,1.0321,是
S06,信用利差走阔·极端,假设,主,1,0.4171,δ 映射,0.4171,0.4162,94.66,1273,1.3449,2022-06-13,0.9278,是
S07,离岸汇率贬值·轻度,假设,主,1,0.0,δ 映射,0.0,0.0,46.82,1273,1.3449,2022-06-13,1.3449,是
S08,离岸汇率贬值·中度,假设,主,1,0.0,δ 映射,0.0,0.0,46.82,1273,1.3449,2022-06-13,1.3449,是
S09,离岸汇率贬值·极端,假设,主,1,0.0,δ 映射,0.0,0.0,46.82,1273,1.3449,2022-06-13,1.3449,是
S10,利率+信用同时恶化·极端,假设,主,1,2.5363,δ 映射,2.5363,2.5044,100.0,1273,1.3449,2022-06-13,-1.1914,否
H1,2022 美联储快速加息,历史,次,1,0.8019,窗内最差单日,1.2305,1.9115,98.74,1268,1.4739,2022-09-29,0.672,是
H2,2023 美国银行业风波,历史,次,1,0.5576,窗内最差单日,-0.9006,0.556,95.5,1268,1.4739,2022-09-29,0.9163,是
H3,2025 关税冲击,历史,次,1,0.768,窗内最差单日,2.1359,2.1133,98.5,1268,1.4739,2022-09-29,0.7059,是
X1,2022 离岸人民币贬值(补充),补充,次,1,1.1382,窗内最差单日,2.0415,2.0208,99.68,1268,1.4739,2022-09-29,0.3357,是
X2,2022 俄乌与加息周期开启(补充),补充,次,1,0.6388,窗内最差单日,2.2096,2.1854,96.85,1268,1.4739,2022-09-29,0.8351,是
S01,利率上行·轻度,假设,次,1,1.0596,δ 映射,1.0596,1.054,99.53,1268,1.4739,2022-09-29,0.4143,是
S02,利率上行·中度,假设,次,1,1.5895,δ 映射,1.5895,1.5769,100.0,1268,1.4739,2022-09-29,-0.1156,否
S03,利率上行·极端,假设,次,1,2.1193,δ 映射,2.1193,2.097,100.0,1268,1.4739,2022-09-29,-0.6454,否
S04,信用利差走阔·轻度,假设,次,1,0.2085,δ 映射,0.2085,0.2083,79.73,1268,1.4739,2022-09-29,1.2654,是
S05,信用利差走阔·中度,假设,次,1,0.3128,δ 映射,0.3128,0.3123,87.38,1268,1.4739,2022-09-29,1.1611,是
S06,信用利差走阔·极端,假设,次,1,0.4171,δ 映射,0.4171,0.4162,91.8,1268,1.4739,2022-09-29,1.0568,是
S07,离岸汇率贬值·轻度,假设,次,1,1.5854,δ 映射,1.5854,1.5729,100.0,1268,1.4739,2022-09-29,-0.1115,否
S08,离岸汇率贬值·中度,假设,次,1,2.3781,δ 映射,2.3781,2.35,100.0,1268,1.4739,2022-09-29,-0.9042,否
S09,离岸汇率贬值·极端,假设,次,1,3.1708,δ 映射,3.1708,3.1211,100.0,1268,1.4739,2022-09-29,-1.6969,否
S10,利率+信用同时恶化·极端,假设,次,1,2.5363,δ 映射,2.5363,2.5044,100.0,1268,1.4739,2022-09-29,-1.0624,否
