scenario_id,scenario_class,scenario_name,direction,severity,anchor_date,caliber,horizon_days,event_window_days,worst_day_loss_pct,worst_day_date,loss_realized_pct,loss_modeled_pct,worst_day_modeled_pct,residual_pct,benchmark_loss_pct,benchmark_source,buffer_pct,loss_after_buffer_pct,buffer_applied,mdd_pct,mdd_note,credit_range_lo_pct,credit_range_hi_pct,credit_range_note,var_1d_95_pct,var_1d_99_pct,es_1d_99_pct,var_hd_95_pct,var_hd_99_pct,es_hd_99_pct,x_var95,x_var99,x_es99,x_hd_es99,tail_flag_hd,tail_flag,fx_horizon_note
H1,历史,2022 美联储快速加息,利率上行,-,2022-06-16,主,1,6,1.3449,2022-06-13,1.5368,0.9794,1.0596,0.5574,1.3449,窗内最差单日,0.0,1.3449,历史情景取实际路径，无模型误差不加缓冲,2.6784,,,,,0.3544,0.5361,0.6659,0.4342,0.6496,0.8573,3.795,2.509,2.02,1.569,是,是,
H1,历史,2022 美联储快速加息,利率上行,-,2022-06-16,次,1,6,0.8019,2022-06-14,1.2305,0.6731,0.4145,0.5574,0.8019,窗内最差单日,0.0,0.8019,历史情景取实际路径，无模型误差不加缓冲,1.9115,,,,,0.4454,0.726,0.7024,0.534,0.8529,1.0646,1.8,1.105,1.142,0.753,否,是,
H2,历史,2023 美国银行业风波,避险(方向相反),-,2023-03-17,主,1,6,0.562,2023-03-14,-1.9981,-2.1841,0.3409,0.186,0.562,窗内最差单日,0.0,0.562,历史情景取实际路径，无模型误差不加缓冲,0.5604,,,,,0.3544,0.5361,0.6659,0.4342,0.6496,0.8573,1.586,1.048,0.844,0.656,否,否,
H2,历史,2023 美国银行业风波,避险(方向相反),-,2023-03-17,次,1,6,0.5576,2023-03-16,-0.9006,-1.0866,0.3048,0.186,0.5576,窗内最差单日,0.0,0.5576,历史情景取实际路径，无模型误差不加缓冲,0.556,,,,,0.4454,0.726,0.7024,0.534,0.8529,1.0646,1.252,0.768,0.794,0.524,否,否,
H3,历史,2025 关税冲击,利率+信用+汇率,-,2025-04-11,主,1,5,1.1491,2025-04-07,2.2896,1.7507,0.5291,0.5389,1.1491,窗内最差单日,0.0,1.1491,历史情景取实际路径，无模型误差不加缓冲,2.2636,,0.5192,1.6537,参考项：上限由 2022 年未解释残差极值标定，线性外推有偏差，不作信用风险可控的判断,0.3544,0.5361,0.6659,0.4342,0.6496,0.8573,3.242,2.143,1.726,1.34,是,是,
H3,历史,2025 关税冲击,利率+信用+汇率,-,2025-04-11,次,1,5,0.768,2025-04-07,2.1359,1.597,0.6274,0.5389,0.768,窗内最差单日,0.0,0.768,历史情景取实际路径，无模型误差不加缓冲,2.1133,,0.6274,1.7421,参考项：上限由 2022 年未解释残差极值标定，线性外推有偏差，不作信用风险可控的判断,0.4454,0.726,0.7024,0.534,0.8529,1.0646,1.724,1.058,1.093,0.721,否,是,
X1,补充,2022 离岸人民币贬值(补充),汇率贬值,-,2022-12-05,主,1,5,0.3084,2022-12-05,-1.437,-0.3254,0.364,-1.1116,0.3084,窗内最差单日,0.0,0.3084,历史情景取实际路径，无模型误差不加缓冲,0.3079,,,,,0.3544,0.5361,0.6659,0.4342,0.6496,0.8573,0.87,0.575,0.463,0.36,否,否,
X1,补充,2022 离岸人民币贬值(补充),汇率贬值,-,2022-12-05,次,1,5,1.1382,2022-12-05,2.0415,3.1531,1.1938,-1.1116,1.1382,窗内最差单日,0.0,1.1382,历史情景取实际路径，无模型误差不加缓冲,2.0208,,,,,0.4454,0.726,0.7024,0.534,0.8529,1.0646,2.556,1.568,1.62,1.069,是,是,
X2,补充,2022 俄乌与加息周期开启(补充),利率上行,-,2022-03-15,主,1,6,1.0349,2022-03-14,3.0008,1.3851,0.5182,1.6157,1.0349,窗内最差单日,0.0,1.0349,历史情景取实际路径，无模型误差不加缓冲,2.9562,,,,,0.3544,0.5361,0.6659,0.4342,0.6496,0.8573,2.92,1.93,1.554,1.207,是,是,
X2,补充,2022 俄乌与加息周期开启(补充),利率上行,-,2022-03-15,次,1,6,0.6388,2022-03-08,2.2096,0.5939,0.3292,1.6157,0.6388,窗内最差单日,0.0,0.6388,历史情景取实际路径，无模型误差不加缓冲,2.1854,,,,,0.4454,0.726,0.7024,0.534,0.8529,1.0646,1.434,0.88,0.909,0.6,否,否,
S01,假设,利率上行·轻度,利率上行,轻度,2022-06-13,主,1,1,1.0596,2022-06-13,1.0596,1.0596,1.0596,0.0,1.0596,δ 映射,0.3365,1.3961,假设情景 δ 映射，加亏损侧偏差缓冲,1.054,1 日锚点路径为单点，回撤 = 1 − exp(损失)，与基准同信息、不含额外信息,,,,0.3544,0.5361,0.6659,0.4342,0.6496,0.8573,3.939,2.604,2.097,1.629,是,是,
S01,假设,利率上行·轻度,利率上行,轻度,2022-06-13,次,1,1,1.0596,2022-06-13,1.0596,1.0596,1.0596,0.0,1.0596,δ 映射,0.3365,1.3961,假设情景 δ 映射，加亏损侧偏差缓冲,1.054,1 日锚点路径为单点，回撤 = 1 − exp(损失)，与基准同信息、不含额外信息,,,,0.4454,0.726,0.7024,0.534,0.8529,1.0646,3.135,1.923,1.988,1.311,是,是,
