scenario_id,scenario_class,scenario_name,lead_direction,window_start,window_end,factor,factor_cn,unit,measure,shock,multiple,available,anchor_date,note
H1,历史,2022 美联储快速加息,利率上行,2022-06-09,2022-06-16,d5y_bp,5年期美债收益率变动,bp,single_extreme,31.0,,True,2022-06-13,
H1,历史,2022 美联储快速加息,利率上行,2022-06-09,2022-06-16,d5y_bp,5年期美债收益率变动,bp,peak_3d,54.0,,True,2022-06-14,
H1,历史,2022 美联储快速加息,利率上行,2022-06-09,2022-06-16,d5y_bp,5年期美债收益率变动,bp,cum_window,32.0,,True,2022-06-16,
H1,历史,2022 美联储快速加息,利率上行,2022-06-09,2022-06-16,d10y_bp,10年期美债收益率变动,bp,single_extreme,28.0,,True,2022-06-13,
H1,历史,2022 美联储快速加息,利率上行,2022-06-09,2022-06-16,d10y_bp,10年期美债收益率变动,bp,peak_3d,45.0,,True,2022-06-14,
H1,历史,2022 美联储快速加息,利率上行,2022-06-09,2022-06-16,d10y_bp,10年期美债收益率变动,bp,cum_window,25.0,,True,2022-06-16,
H1,历史,2022 美联储快速加息,利率上行,2022-06-09,2022-06-16,doas_bp,新兴市场IG信用利差变动,bp,窗内实现,,,False,,该窗内 doas_bp 无数据（序列自 2023-09-05 起）
H1,历史,2022 美联储快速加息,利率上行,2022-06-09,2022-06-16,fx_ret_pct,人民币兑美元汇率收益,%,single_extreme,-0.397,,True,2022-06-15,
H1,历史,2022 美联储快速加息,利率上行,2022-06-09,2022-06-16,fx_ret_pct,人民币兑美元汇率收益,%,peak_3d,-0.7432,,True,2022-06-16,
H1,历史,2022 美联储快速加息,利率上行,2022-06-09,2022-06-16,fx_ret_pct,人民币兑美元汇率收益,%,cum_window,0.3063,,True,2022-06-16,
H1,历史,2022 美联储快速加息,利率上行,2022-06-09,2022-06-16,etf_ret_tr_pct,主口径ETF(USD复权),%,cum_window,-1.5368,,True,2022-06-16,
H1,历史,2022 美联储快速加息,利率上行,2022-06-09,2022-06-16,etf_ret_tr_pct,主口径ETF(USD复权),%,max_drawdown,-2.6784,,True,2022-06-16,
H1,历史,2022 美联储快速加息,利率上行,2022-06-09,2022-06-16,etf_ret_rmb_pct,次口径ETF(人民币),%,cum_window,-1.2305,,True,2022-06-16,
H1,历史,2022 美联储快速加息,利率上行,2022-06-09,2022-06-16,etf_ret_rmb_pct,次口径ETF(人民币),%,max_drawdown,-1.9115,,True,2022-06-16,
H2,历史,2023 美国银行业风波,避险(方向相反),2023-03-10,2023-03-17,d5y_bp,5年期美债收益率变动,bp,single_extreme,13.0,,True,2023-03-16,
H2,历史,2023 美国银行业风波,避险(方向相反),2023-03-10,2023-03-17,d5y_bp,5年期美债收益率变动,bp,peak_3d,4.0,,True,2023-03-16,
H2,历史,2023 美国银行业风波,避险(方向相反),2023-03-10,2023-03-17,d5y_bp,5年期美债收益率变动,bp,cum_window,-78.0,,True,2023-03-17,
H2,历史,2023 美国银行业风波,避险(方向相反),2023-03-10,2023-03-17,d10y_bp,10年期美债收益率变动,bp,single_extreme,9.0,,True,2023-03-14,
H2,历史,2023 美国银行业风波,避险(方向相反),2023-03-10,2023-03-17,d10y_bp,10年期美债收益率变动,bp,peak_3d,1.0,,True,2023-03-16,
H2,历史,2023 美国银行业风波,避险(方向相反),2023-03-10,2023-03-17,d10y_bp,10年期美债收益率变动,bp,cum_window,-54.0,,True,2023-03-17,
H2,历史,2023 美国银行业风波,避险(方向相反),2023-03-10,2023-03-17,doas_bp,新兴市场IG信用利差变动,bp,窗内实现,,,False,,该窗内 doas_bp 无数据（序列自 2023-09-05 起）
H2,历史,2023 美国银行业风波,避险(方向相反),2023-03-10,2023-03-17,fx_ret_pct,人民币兑美元汇率收益,%,single_extreme,-0.8727,,True,2023-03-10,
