scenario_id,shift_days,caliber,window_start,window_end,n_days,d5y_bp,d10y_bp,loss_pct,mdd_pct,worst_day_pct,worst_day_date
H1,-2,主,2022-06-07,2022-06-14,6,58.0,45.0,-2.5639,2.7831,1.3449,2022-06-13
H1,-2,次,2022-06-07,2022-06-14,6,58.0,45.0,-1.2781,1.9115,0.8019,2022-06-14
H1,-1,主,2022-06-08,2022-06-15,6,39.0,35.0,-1.9405,2.7831,1.3449,2022-06-13
H1,-1,次,2022-06-08,2022-06-15,6,39.0,35.0,-1.2634,1.9115,0.8019,2022-06-14
H1,0,主,2022-06-09,2022-06-16,6,32.0,25.0,-1.5368,2.6784,1.3449,2022-06-13
H1,0,次,2022-06-09,2022-06-16,6,32.0,25.0,-1.2305,1.9115,0.8019,2022-06-14
H1,1,主,2022-06-10,2022-06-17,6,27.0,21.0,-1.6804,2.6101,1.3449,2022-06-13
H1,1,次,2022-06-10,2022-06-17,6,27.0,21.0,-1.3149,1.9115,0.8019,2022-06-14
H1,2,主,2022-06-13,2022-06-21,6,13.0,16.0,-1.147,1.9279,1.3449,2022-06-13
H1,2,次,2022-06-13,2022-06-21,6,13.0,16.0,-1.4471,1.4688,0.8019,2022-06-14
H2,-2,主,2023-03-08,2023-03-15,6,-72.0,-46.0,1.9685,0.5604,0.562,2023-03-14
H2,-2,次,2023-03-08,2023-03-15,6,-72.0,-46.0,1.1027,0.358,0.3206,2023-03-08
H2,-1,主,2023-03-09,2023-03-16,6,-62.0,-42.0,1.6328,0.5604,0.562,2023-03-14
H2,-1,次,2023-03-09,2023-03-16,6,-62.0,-42.0,0.8657,0.556,0.5576,2023-03-16
H2,0,主,2023-03-10,2023-03-17,6,-78.0,-54.0,1.9981,0.5604,0.562,2023-03-14
H2,0,次,2023-03-10,2023-03-17,6,-78.0,-54.0,0.9006,0.556,0.5576,2023-03-16
H2,1,主,2023-03-13,2023-03-20,6,-40.0,-23.0,0.7073,0.5604,0.562,2023-03-14
H2,1,次,2023-03-13,2023-03-20,6,-40.0,-23.0,0.3372,0.5701,0.5717,2023-03-20
H2,2,主,2023-03-14,2023-03-21,6,5.0,4.0,-0.3223,0.7404,0.562,2023-03-14
H2,2,次,2023-03-14,2023-03-21,6,5.0,4.0,0.224,0.7981,0.5717,2023-03-20
H3,-2,主,2025-04-03,2025-04-09,5,11.0,14.0,-1.5303,1.9095,1.1491,2025-04-07
H3,-2,次,2025-04-03,2025-04-09,5,11.0,14.0,-0.4029,0.9854,0.768,2025-04-07
H3,-1,主,2025-04-04,2025-04-10,5,29.0,34.0,-1.928,1.9095,1.1491,2025-04-07
H3,-1,次,2025-04-04,2025-04-10,5,29.0,34.0,-1.4799,1.469,0.768,2025-04-07
H3,0,主,2025-04-07,2025-04-11,5,43.0,47.0,-2.2896,2.2636,1.1491,2025-04-07
H3,0,次,2025-04-07,2025-04-11,5,43.0,47.0,-2.1359,2.1133,0.768,2025-04-07
H3,1,主,2025-04-08,2025-04-14,5,20.0,23.0,-0.6915,1.134,0.5725,2025-04-09
H3,1,次,2025-04-08,2025-04-14,5,20.0,23.0,-0.6395,1.5683,0.6697,2025-04-11
H3,2,主,2025-04-09,2025-04-15,5,10.0,9.0,-0.2177,0.9298,0.5725,2025-04-09
H3,2,次,2025-04-09,2025-04-15,5,10.0,9.0,-0.5425,1.5683,0.6697,2025-04-11
X1,-2,主,2022-11-25,2022-12-01,5,-20.0,-18.0,2.0471,0.0114,0.0114,2022-11-29
X1,-2,次,2022-11-25,2022-12-01,5,-20.0,-18.0,0.419,1.0696,0.7159,2022-11-29
X1,-1,主,2022-11-28,2022-12-02,5,-18.0,-17.0,1.8138,0.0114,0.0114,2022-11-29
X1,-1,次,2022-11-28,2022-12-02,5,-18.0,-17.0,-0.2337,1.0696,0.7159,2022-11-29
X1,0,主,2022-11-29,2022-12-05,5,-8.0,-9.0,1.437,0.3079,0.3084,2022-12-05
X1,0,次,2022-11-29,2022-12-05,5,-8.0,-9.0,-2.0415,2.0208,1.1382,2022-12-05
X1,1,主,2022-11-30,2022-12-06,5,-19.0,-24.0,1.7008,0.3079,0.3084,2022-12-05
X1,1,次,2022-11-30,2022-12-06,5,-19.0,-24.0,-0.6074,1.3169,1.1382,2022-12-05
X1,2,主,2022-12-01,2022-12-07,5,-20.0,-26.0,1.4787,0.3079,0.3084,2022-12-05
X1,2,次,2022-12-01,2022-12-07,5,-20.0,-26.0,-0.1958,1.2224,1.1382,2022-12-05
X2,-2,主,2022-03-04,2022-03-11,6,22.0,14.0,-1.7234,2.0076,0.6135,2022-03-08
X2,-2,次,2022-03-04,2022-03-11,6,22.0,14.0,-1.4169,1.6959,0.6388,2022-03-08
X2,-1,主,2022-03-07,2022-03-14,6,45.0,40.0,-3.0629,3.0165,1.0349,2022-03-14
X2,-1,次,2022-03-07,2022-03-14,6,45.0,40.0,-2.3423,2.3151,0.6388,2022-03-08
X2,0,主,2022-03-08,2022-03-15,6,39.0,37.0,-3.0008,2.9562,1.0349,2022-03-14
X2,0,次,2022-03-08,2022-03-15,6,39.0,37.0,-2.2096,2.1854,0.6388,2022-03-08
X2,1,主,2022-03-09,2022-03-16,6,38.0,33.0,-2.1408,2.359,1.0349,2022-03-14
X2,1,次,2022-03-09,2022-03-16,6,38.0,33.0,-1.6167,1.6037,0.6319,2022-03-14
X2,2,主,2022-03-10,2022-03-17,6,30.0,26.0,-0.9427,1.8507,1.0349,2022-03-14
X2,2,次,2022-03-10,2022-03-17,6,30.0,26.0,-0.4926,1.0885,0.6319,2022-03-14
