horizon_days,is_main_horizon,caliber,rank,window_end,window_start,loss_pct,caliber_note
1,True,主,1,2022-06-13,2022-06-13,1.3449,
1,True,主,2,2025-04-07,2025-04-07,1.1491,
1,True,主,3,2022-03-14,2022-03-14,1.0349,
1,True,主,4,2022-03-02,2022-03-02,1.0242,
1,True,主,5,2022-09-26,2022-09-26,0.9128,
1,True,主,6,2023-10-03,2023-10-03,0.8393,
1,True,主,7,2022-08-05,2022-08-05,0.7185,
1,True,主,8,2022-09-22,2022-09-22,0.7129,
1,True,主,9,2022-02-04,2022-02-04,0.7054,
1,True,主,10,2022-06-10,2022-06-10,0.6981,
1,True,次,1,2022-09-29,2022-09-29,1.4739,
1,True,次,2,2023-03-01,2023-03-01,1.3363,
1,True,次,3,2022-12-30,2022-12-30,1.1452,
1,True,次,4,2022-12-05,2022-12-05,1.1382,
1,True,次,5,2022-05-17,2022-05-17,1.1333,
1,True,次,6,2023-07-20,2023-07-20,1.0839,
1,True,次,7,2022-10-26,2022-10-26,1.0527,
1,True,次,8,2022-11-07,2022-11-07,1.0289,
1,True,次,9,2022-08-02,2022-08-02,0.9319,
1,True,次,10,2023-09-11,2023-09-11,0.908,
3,False,主,1,2022-06-14,2022-06-10,2.6448,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
3,False,主,2,2022-06-13,2022-06-09,2.1131,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
3,False,主,3,2025-04-09,2025-04-07,1.928,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
3,False,主,4,2022-09-26,2022-09-22,1.8174,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
3,False,主,5,2022-03-15,2022-03-11,1.8113,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
3,False,主,6,2022-03-09,2022-03-07,1.6665,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
3,False,主,7,2022-09-27,2022-09-23,1.5555,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
3,False,主,8,2022-03-14,2022-03-10,1.3964,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
3,False,主,9,2025-04-08,2025-04-04,1.3555,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
3,False,主,10,2022-03-16,2022-03-14,1.26,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
3,False,次,1,2022-06-14,2022-06-10,1.93,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
3,False,次,2,2022-03-09,2022-03-07,1.6886,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
3,False,次,3,2025-04-11,2025-04-09,1.5807,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
3,False,次,4,2022-07-08,2022-07-06,1.474,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
3,False,次,5,2022-05-23,2022-05-19,1.4586,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
3,False,次,6,2025-05-06,2025-05-02,1.3783,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
3,False,次,7,2022-11-07,2022-11-03,1.3352,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
3,False,次,8,2023-03-01,2023-02-27,1.326,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
3,False,次,9,2022-01-18,2022-01-13,1.2841,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
3,False,次,10,2022-10-03,2022-09-29,1.2796,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
5,False,主,1,2022-06-14,2022-06-08,2.8226,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
5,False,主,2,2022-03-14,2022-03-08,2.5292,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
5,False,主,3,2022-03-15,2022-03-09,2.3873,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
5,False,主,4,2025-04-11,2025-04-07,2.2896,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
5,False,主,5,2022-09-27,2022-09-21,2.1677,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
5,False,主,6,2022-03-11,2022-03-07,2.028,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
5,False,主,7,2022-06-13,2022-06-07,1.9621,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
5,False,主,8,2022-09-26,2022-09-20,1.9404,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
5,False,主,9,2025-04-10,2025-04-04,1.928,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
5,False,主,10,2022-06-15,2022-06-09,1.8328,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
5,False,次,1,2025-04-11,2025-04-07,2.1359,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
5,False,次,2,2022-12-05,2022-11-29,2.0415,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
5,False,次,3,2022-05-23,2022-05-17,1.8654,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
5,False,次,4,2022-12-30,2022-12-23,1.8423,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
