date,ret_tr_pct,ret_rmb_pct,hs250_var_95,rmb_hs250_var_95,hs250_var_99,rmb_hs250_var_99,hs500_var_95,rmb_hs500_var_95,hs500_var_99,rmb_hs500_var_99,hs750_var_95,rmb_hs750_var_95,hs750_var_99,rmb_hs750_var_99,fhs_sig_e,fhs_sig_g,rmb_fhs_sig_e,rmb_fhs_sig_g,fhs_e_var_95,fhs_g_var_95,rmb_fhs_e_var_95,rmb_fhs_g_var_95,fhs_e_var_99,fhs_g_var_99,rmb_fhs_e_var_99,rmb_fhs_g_var_99
2022-08-03,0.2285,0.3262,0.598965,0.66331,0.867988,0.876879,,,,,,,,,0.345792,0.406741,0.433216,0.498226,,,,,,,,
2022-08-04,0.1846,0.0661,0.598965,0.66331,0.867988,0.876879,,,,,,,,,0.339897,0.403501,0.427551,0.498548,,,,,,,,
2022-08-05,-0.7185,-0.5379,0.598965,0.66331,0.867988,0.876879,,,,,,,,,0.332631,0.399415,0.414843,0.498097,,,,,,,,
2022-08-08,0.2401,0.0891,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.367395,0.412681,0.423236,0.498855,,,,,,,,
2022-08-09,-0.1091,-0.0795,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.361025,0.409676,0.410923,0.498462,,,,,,,,
2022-08-10,0.0055,-0.4323,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.351046,0.40419,0.39888,0.497953,,,,,,,,
2022-08-11,-0.0655,0.2538,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.340354,0.398391,0.400964,0.498193,,,,,,,,
2022-08-12,0.2617,0.232,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.330375,0.392379,0.393688,0.49823,,,,,,,,
2022-08-15,0.1958,0.625,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.326662,0.389911,0.385902,0.498176,,,,,,,,
2022-08-16,0.0706,0.3066,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.320322,0.385792,0.404256,0.500172,,,,,,,,
2022-08-17,-0.4626,-0.5658,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.311044,0.379464,0.399071,0.500361,,,,,,,,
2022-08-18,0.0436,0.1173,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.322155,0.382591,0.410987,0.501261,,,,,,,,
2022-08-19,-0.3441,0.1102,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.312523,0.375847,0.399501,0.500911,,,,,,,,
2022-08-22,-0.4112,0.0455,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.314507,0.374211,0.38827,0.500556,,,,,,,,
2022-08-23,-0.011,-0.011,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.321131,0.37525,0.376607,0.500109,,,,,,,,
2022-08-24,-0.0605,0.0927,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.311359,0.366855,0.365144,0.499629,,,,,,,,
2022-08-25,0.4225,0.2707,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.302238,0.356575,0.354747,0.499236,,,,,,,,
2022-08-26,0.1313,0.4783,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.310769,0.363796,0.350274,0.499288,,,,,,,,
2022-08-29,-0.5373,-0.0263,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.303013,0.355859,0.359244,0.500247,,,,,,,,
2022-08-30,0.1264,0.1742,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.321915,0.367233,0.34836,0.499759,,,,,,,,
2022-08-31,-0.2144,-0.5188,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.31364,0.359722,0.340432,0.499521,,,,,,,,
2022-09-01,-0.4743,-0.2191,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.308587,0.352857,0.35368,0.500162,,,,,,,,
2022-09-02,0.1712,0.0539,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.320952,0.359351,0.34708,0.445703,,,,,,,,
2022-09-06,-0.5368,0.253,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.313987,0.353225,0.336765,0.428124,,,,,,,,
2022-09-07,0.3158,0.4854,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.331605,0.363836,0.332335,0.418754,,,,,,,,
2022-09-08,-0.1218,-0.2482,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.330678,0.363697,0.343448,0.426098,,,,,,,,
2022-09-09,0.0277,-0.4363,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.32199,0.355604,0.33849,0.416306,,,,,,,,
2022-09-12,0.0,0.0361,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.312254,0.346916,0.345141,0.416942,,,,,,,,
2022-09-13,-0.3161,-0.345,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.302742,0.33768,0.334744,0.404504,,,,,,,,
2022-09-14,-0.2502,0.2784,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.30356,0.335328,0.335368,0.400528,,,,,,,,
2022-09-15,-0.1058,0.3557,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.300625,0.330006,0.332225,0.395503,,,,,,,,
2022-09-16,-0.0948,-0.288,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.292617,0.320603,0.33368,0.394739,,,,,,,,
2022-09-19,-0.134,0.225,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.284651,0.310497,0.331117,0.389169,,,,,,,,
2022-09-20,-0.2237,-0.044,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.277925,0.300525,0.325727,0.382753,,,,,,,,
2022-09-21,0.1007,0.5315,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.274973,0.293633,0.315988,0.37214,,,,,,,,
2022-09-22,-0.7129,-0.298,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.267735,0.284308,0.332877,0.385132,,,,,,,,
2022-09-23,-0.1917,0.5039,0.60875,0.66331,0.874407,0.876879,,,,,,,,,0.312849,0.329999,0.330888,0.380959,,,,,,,,
