date,ret_tr_pct,sig_uncond,sig_garch,sig_garch_t,sig_ewma,sig_dnorm,m1_var_95,m1_var_99,garch_var_95,garch_var_99,garch_t_var_95,garch_t_var_99,ewma_var_95,ewma_var_99,dnorm_var_95,dnorm_var_99,ret_rmb_pct,rmb_sig_uncond,rmb_sig_garch,rmb_sig_ewma,rmb_sig_dnorm,rmb_m1_var_95,rmb_m1_var_99,rmb_garch_var_95,rmb_garch_var_99,rmb_ewma_var_95,rmb_ewma_var_99,rmb_dnorm_var_95,rmb_dnorm_var_99
2022-08-03,0.2285,0.313518,0.406741,0.405635,0.345792,0.31352,0.515706,0.729338,0.669048,0.946202,0.667228,0.943628,0.568793,0.804415,0.51571,0.729342,0.3262,0.379768,0.498226,0.433216,0.379771,0.62468,0.883454,0.819532,1.159023,0.712598,1.007791,0.624685,0.883462
2022-08-04,0.1846,0.313935,0.403501,0.40149,0.339897,0.313937,0.516391,0.730306,0.663719,0.938664,0.660412,0.933987,0.559097,0.790703,0.516394,0.730311,0.0661,0.380221,0.498548,0.427551,0.380224,0.625425,0.884507,0.820062,1.159773,0.703279,0.994613,0.62543,0.884515
2022-08-05,-0.7185,0.314189,0.399415,0.396329,0.332631,0.314191,0.516809,0.730897,0.656998,0.929159,0.651922,0.921981,0.547144,0.773798,0.516812,0.730902,-0.5379,0.38026,0.498097,0.414843,0.380264,0.62549,0.884599,0.819319,1.158722,0.682375,0.965048,0.625495,0.884607
2022-08-08,0.2401,0.317024,0.412681,0.412794,0.367395,0.317026,0.521472,0.737492,0.678818,0.960019,0.679004,0.960282,0.604328,0.854671,0.521476,0.737497,0.0891,0.381423,0.498855,0.423236,0.381427,0.627403,0.887305,0.820566,1.160486,0.696181,0.984574,0.627409,0.887313
2022-08-09,-0.1091,0.316983,0.409676,0.408962,0.361025,0.316986,0.521406,0.737398,0.673876,0.953029,0.672701,0.951368,0.59385,0.839853,0.52141,0.737404,-0.0795,0.381485,0.498462,0.410923,0.381489,0.627505,0.887448,0.81992,1.159572,0.675927,0.955929,0.62751,0.887457
2022-08-10,0.0055,0.317003,0.40419,0.402295,0.351046,0.317005,0.521438,0.737444,0.664852,0.940267,0.661736,0.93586,0.577435,0.816637,0.521442,0.73745,-0.4323,0.381502,0.497953,0.39888,0.381505,0.627532,0.887487,0.819083,1.158388,0.656118,0.927914,0.627538,0.887495
2022-08-11,-0.0655,0.317015,0.398391,0.395157,0.340354,0.317017,0.521457,0.737471,0.655314,0.926778,0.649994,0.919254,0.559848,0.791765,0.521461,0.737477,0.2538,0.382375,0.498193,0.400964,0.382379,0.628969,0.889519,0.819478,1.158947,0.659545,0.932762,0.628975,0.889528
2022-08-12,0.2617,0.316796,0.392379,0.385604,0.330375,0.316798,0.521097,0.736961,0.645425,0.912792,0.634279,0.897029,0.543434,0.768552,0.521101,0.736967,0.232,0.382756,0.49823,0.393688,0.38276,0.629596,0.890406,0.819538,1.159032,0.647578,0.915837,0.629602,0.890415
2022-08-15,0.1958,0.317356,0.389911,0.381449,0.326662,0.317358,0.522018,0.738264,0.641364,0.907049,0.627446,0.887366,0.537326,0.759914,0.522022,0.73827,0.625,0.383093,0.498176,0.385902,0.383097,0.63015,0.89119,0.819449,1.158906,0.63477,0.897724,0.630156,0.891199
2022-08-16,0.0706,0.316884,0.385792,0.374445,0.320322,0.316887,0.521243,0.737168,0.634589,0.897467,0.615925,0.871073,0.526897,0.745164,0.521247,0.737174,0.3066,0.384741,0.500172,0.404256,0.384745,0.632861,0.895024,0.822733,1.16355,0.66496,0.94042,0.632867,0.895033
